인허가일자,좌표정보(X),좌표정보(Y),폐업일자,영업상태명,정보
2012-11-09,127.08244887442058,37.53841971497911,20190327,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08244887442058,37.53841971497911,20190327,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.09727180153826,37.541344149582045,20150930,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08502528892863,37.5397592955534,20190222,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.07624630971272,37.545657394487264,,영업/정상,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08191057516937,37.534145507705965,,영업/정상,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.06740555523992,37.53573378510229,20140911,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.06655631789573,37.54183984562767,,영업/정상,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.06794813518026,37.531892259885396,20141218,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.07571005610573,37.53243255041098,20161220,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08405808184592,37.56002428282994,20130725,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.07480628714227,37.55432810820713,,영업/정상,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,,,20151228,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08971869632543,37.555172532102574,20170111,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08784887883405,37.56373810431513,,영업/정상,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.07755757490568,37.55296519228963,20140930,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08416200037284,37.55462073185093,,영업/정상,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.07678699016135,37.55728909287794,20130122,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.09084124329597,37.55264723677818,20130213,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.09125564882169,37.53498210047478,,영업/정상,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.10628456688636,37.54779189951061,20200720,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08835251914215,37.54748532661425,20140930,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.06581898887634,37.54233387420037,,영업/정상,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.09388479226202,37.54094088070765,20140207,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08429488487104,37.5377127394929,20150701,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,,,20140430,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08832231566254,37.53872509673991,20160901,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08314292843275,37.558999857092054,,영업/정상,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.09587402591677,37.538627492316074,20171108,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-08,127.10887125881882,37.54965769584023,20130213,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.09077901629463,37.535977952909796,20131123,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08619775957227,37.54560420841522,20170714,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.06258673232122,37.536958574157424,20180529,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,,,20200804,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08573069253703,37.56802417859433,,영업/정상,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08478247674411,37.56628558500939,20200929,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.07146415033858,37.54253647093281,20190605,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08119686675184,37.56294566603022,,영업/정상,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08936685829718,37.546853506235976,20171017,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.09466418566183,37.53849852607079,,영업/정상,서울시광진구안전상비의약품판매업소인허가정보.csv
2012-11-09,127.08536156807257,37.55736514086833,20160623,폐업,서울시광진구안전상비의약품판매업소인허가정보.csv
