인허가일자,좌표정보(X),좌표정보(Y),폐업일자,영업상태명,정보
1969-06-14,,,20120529,폐업,서울시광진구약국인허가정보.csv
1970-06-02,127.09147100640503,37.55108983472565,20130102,폐업,서울시광진구약국인허가정보.csv
1970-10-31,127.06451846404856,37.53424487212927,20131112,폐업,서울시광진구약국인허가정보.csv
1971-11-15,127.09325501469448,37.55325883276847,20210831,폐업,서울시광진구약국인허가정보.csv
1972-04-12,127.08973205194407,37.5526149170352,20160607,폐업,서울시광진구약국인허가정보.csv
1974-07-04,127.08541509633203,37.545526054491,,영업/정상,서울시광진구약국인허가정보.csv
1974-10-07,,,20121203,폐업,서울시광진구약국인허가정보.csv
1976-06-07,127.08135097308984,37.564816392822614,,영업/정상,서울시광진구약국인허가정보.csv
1976-10-02,127.08929465561259,37.53820950100461,20140515,폐업,서울시광진구약국인허가정보.csv
1976-11-02,127.08639066143809,37.567847570338756,20140930,폐업,서울시광진구약국인허가정보.csv
1977-01-06,127.07219416089579,37.54815580701373,20150227,폐업,서울시광진구약국인허가정보.csv
1977-07-20,,,20120615,폐업,서울시광진구약국인허가정보.csv
1977-07-27,,,20130411,폐업,서울시광진구약국인허가정보.csv
1978-01-19,,,20110518,폐업,서울시광진구약국인허가정보.csv
1978-09-05,127.07931990780587,37.556224674932594,,영업/정상,서울시광진구약국인허가정보.csv
1978-11-01,,,20100802,폐업,서울시광진구약국인허가정보.csv
1980-01-28,127.07469992146596,37.53070950726105,,영업/정상,서울시광진구약국인허가정보.csv
1980-03-06,127.08265421822001,37.535877339848,20170102,폐업,서울시광진구약국인허가정보.csv
1980-05-24,127.06846942934527,37.54144617238121,,영업/정상,서울시광진구약국인허가정보.csv
1980-07-07,127.09358546447395,37.533917649584474,,영업/정상,서울시광진구약국인허가정보.csv
1981-03-06,127.08878237557987,37.554043647153236,20170102,폐업,서울시광진구약국인허가정보.csv
1981-03-23,,,20130405,폐업,서울시광진구약국인허가정보.csv
1981-08-06,,,20110831,폐업,서울시광진구약국인허가정보.csv
1981-10-07,127.11132354910347,37.55568577116454,20180928,폐업,서울시광진구약국인허가정보.csv
1982-04-22,127.08847035060904,37.545137869528304,,영업/정상,서울시광진구약국인허가정보.csv
1982-06-08,127.10418863434148,37.54315872998459,2023-11-01,폐업,서울시광진구약국인허가정보.csv
1982-06-30,127.06668465063164,37.53870384146015,20191118,폐업,서울시광진구약국인허가정보.csv
1983-05-24,127.07637386655641,37.55741019545603,20181002,폐업,서울시광진구약국인허가정보.csv
1983-09-10,,,20130508,폐업,서울시광진구약국인허가정보.csv
1984-01-09,127.06448711641906,37.536947475907006,20150528,폐업,서울시광진구약국인허가정보.csv
1984-03-30,127.08232003121964,37.531600197630965,,영업/정상,서울시광진구약국인허가정보.csv
1984-07-09,127.09058811943002,37.55874740377973,20140320,폐업,서울시광진구약국인허가정보.csv
1985-06-14,127.07807823276116,37.536439221678485,20190531,폐업,서울시광진구약국인허가정보.csv
1985-11-06,,,20120222,폐업,서울시광진구약국인허가정보.csv
1986-02-03,,,20090702,폐업,서울시광진구약국인허가정보.csv
1986-07-23,,,20090515,폐업,서울시광진구약국인허가정보.csv
1986-10-04,127.08999593056495,37.549600106387985,20140430,폐업,서울시광진구약국인허가정보.csv
1986-11-06,127.08250620576354,37.5684123504653,,영업/정상,서울시광진구약국인허가정보.csv
1987-06-22,127.06350443199294,37.5363910103097,,영업/정상,서울시광진구약국인허가정보.csv
1988-02-23,127.08692771432372,37.55956322854541,,영업/정상,서울시광진구약국인허가정보.csv
1989-04-11,127.09358546447395,37.533917649584474,20210330,폐업,서울시광진구약국인허가정보.csv
1989-05-08,127.06783548849961,37.54756104835325,20140515,폐업,서울시광진구약국인허가정보.csv
1989-08-23,127.08292167645438,37.56292404494739,20170428,폐업,서울시광진구약국인허가정보.csv
1990-05-19,127.08826633668211,37.554214382005675,20190304,폐업,서울시광진구약국인허가정보.csv
1990-09-19,127.08923032645905,37.5445965151581,,영업/정상,서울시광진구약국인허가정보.csv
1991-03-28,127.08575245179225,37.532374613249196,20190813,폐업,서울시광진구약국인허가정보.csv
1991-10-19,127.08301956783129,37.56867319464524,,영업/정상,서울시광진구약국인허가정보.csv
1992-03-23,127.08866553725439,37.54031608786096,,영업/정상,서울시광진구약국인허가정보.csv
1992-09-23,127.09587402591677,37.538627492316074,20130401,폐업,서울시광진구약국인허가정보.csv
1992-10-15,127.08421974432544,37.53174720721229,20150604,폐업,서울시광진구약국인허가정보.csv
1993-05-07,127.09358546447395,37.533917649584474,20160108,폐업,서울시광진구약국인허가정보.csv
1995-02-06,,,20100823,폐업,서울시광진구약국인허가정보.csv
1995-04-19,127.0826161561864,37.529236915475174,,영업/정상,서울시광진구약국인허가정보.csv
1996-01-08,,,20190201,폐업,서울시광진구약국인허가정보.csv
1996-12-16,127.08265434900882,37.568133670660494,,영업/정상,서울시광진구약국인허가정보.csv
1997-05-20,127.07015468165807,37.53952454892626,20140821,폐업,서울시광진구약국인허가정보.csv
1998-12-26,,,20080929,폐업,서울시광진구약국인허가정보.csv
1999-02-09,,,20090501,폐업,서울시광진구약국인허가정보.csv
1999-05-10,127.0902385272587,37.55688638438258,,영업/정상,서울시광진구약국인허가정보.csv
1999-05-19,127.07058975867432,37.549689183405725,,영업/정상,서울시광진구약국인허가정보.csv
1999-06-03,,,20110405,폐업,서울시광진구약국인허가정보.csv
1999-07-19,127.08301273651871,37.535766447575135,,영업/정상,서울시광진구약국인허가정보.csv
1999-09-11,,,20100901,폐업,서울시광진구약국인허가정보.csv
2000-04-11,,,,영업/정상,서울시광진구약국인허가정보.csv
2000-04-27,,,20130201,폐업,서울시광진구약국인허가정보.csv
2000-06-14,,,20190329,폐업,서울시광진구약국인허가정보.csv
2000-06-14,,,20110401,폐업,서울시광진구약국인허가정보.csv
2000-07-26,,,20100119,폐업,서울시광진구약국인허가정보.csv
2000-08-25,,,20081202,폐업,서울시광진구약국인허가정보.csv
2000-09-20,127.06522592142677,37.53599621189249,,영업/정상,서울시광진구약국인허가정보.csv
2000-10-10,127.06737695329589,37.54077945073738,,영업/정상,서울시광진구약국인허가정보.csv
2000-11-18,127.08828542000143,37.55400626027483,,영업/정상,서울시광진구약국인허가정보.csv
2000-12-21,127.0672128505245,37.535784456921135,,영업/정상,서울시광진구약국인허가정보.csv
2001-01-03,,,20101022,폐업,서울시광진구약국인허가정보.csv
2001-01-06,127.0893982461822,37.54007682487516,,영업/정상,서울시광진구약국인허가정보.csv
2001-02-22,,,,영업/정상,서울시광진구약국인허가정보.csv
2001-02-27,,,20110228,폐업,서울시광진구약국인허가정보.csv
2001-04-10,,,20111109,폐업,서울시광진구약국인허가정보.csv
2001-05-09,127.08973971326745,37.54462967224794,2023-06-05,폐업,서울시광진구약국인허가정보.csv
2001-05-17,127.08769456777516,37.55756703712434,,영업/정상,서울시광진구약국인허가정보.csv
2001-07-09,,,20110103,폐업,서울시광진구약국인허가정보.csv
2001-09-17,,,20090929,폐업,서울시광진구약국인허가정보.csv
2001-10-15,,,20120130,폐업,서울시광진구약국인허가정보.csv
2001-11-02,,,,영업/정상,서울시광진구약국인허가정보.csv
2001-12-21,,,20081231,폐업,서울시광진구약국인허가정보.csv
2001-06-21,127.0833650705087,37.569960384359234,20050819,폐업,서울시광진구약국인허가정보.csv
2002-01-15,127.08963023870663,37.55283449120652,20170919,폐업,서울시광진구약국인허가정보.csv
2002-03-11,127.09513709793441,37.54134188178146,20220210,폐업,서울시광진구약국인허가정보.csv
2002-04-22,,,20120131,폐업,서울시광진구약국인허가정보.csv
2002-10-04,127.08554453574494,37.531672472097796,,영업/정상,서울시광진구약국인허가정보.csv
2002-12-11,,,20110829,폐업,서울시광진구약국인허가정보.csv
2002-12-31,,,20081208,폐업,서울시광진구약국인허가정보.csv
2003-02-17,127.07089120479499,37.55077083038139,,영업/정상,서울시광진구약국인허가정보.csv
2003-02-21,,,20130930,폐업,서울시광진구약국인허가정보.csv
2003-02-27,127.08757925032383,37.55799744650271,,영업/정상,서울시광진구약국인허가정보.csv
2003-04-11,127.09104813810129,37.55632532531084,20191211,폐업,서울시광진구약국인허가정보.csv
2003-04-24,127.08805301492572,37.55883261879939,,영업/정상,서울시광진구약국인허가정보.csv
2003-05-07,127.08015235235133,37.55793063142906,,영업/정상,서울시광진구약국인허가정보.csv
2003-05-12,127.07735518003899,37.55842269506896,,영업/정상,서울시광진구약국인허가정보.csv
2003-07-18,,,,영업/정상,서울시광진구약국인허가정보.csv
2003-07-28,,,20100823,폐업,서울시광진구약국인허가정보.csv
2003-08-12,127.0802760672344,37.56321874593178,20140915,폐업,서울시광진구약국인허가정보.csv
2003-09-01,,,20080901,폐업,서울시광진구약국인허가정보.csv
2003-10-01,127.0958430395597,37.540795604153196,,영업/정상,서울시광진구약국인허가정보.csv
2003-10-20,127.08893415037774,37.544667873877614,20170906,폐업,서울시광진구약국인허가정보.csv
2003-11-28,,,20130503,폐업,서울시광진구약국인허가정보.csv
2003-12-09,,,20081215,폐업,서울시광진구약국인허가정보.csv
2004-11-05,,,,영업/정상,서울시광진구약국인허가정보.csv
2004-12-07,127.10471920297671,37.54761924716852,20141124,폐업,서울시광진구약국인허가정보.csv
2004-12-22,,,20130620,폐업,서울시광진구약국인허가정보.csv
2005-01-13,,,20081124,폐업,서울시광진구약국인허가정보.csv
2005-01-13,127.07020582847633,37.53968351469862,2021-01-01,폐업,서울시광진구약국인허가정보.csv
2005-02-03,,,20190523,폐업,서울시광진구약국인허가정보.csv
2005-02-16,127.08385414615708,37.53506166377523,,영업/정상,서울시광진구약국인허가정보.csv
2005-02-25,127.08873662947474,37.55425179460274,,영업/정상,서울시광진구약국인허가정보.csv
2005-04-12,,,,영업/정상,서울시광진구약국인허가정보.csv
2005-06-23,,,20130430,폐업,서울시광진구약국인허가정보.csv
2005-06-27,,,20100628,폐업,서울시광진구약국인허가정보.csv
2005-06-30,127.09344516427515,37.535376167399505,,영업/정상,서울시광진구약국인허가정보.csv
2005-07-20,,,20101230,폐업,서울시광진구약국인허가정보.csv
2005-08-16,127.08004668738144,37.56328851847113,,영업/정상,서울시광진구약국인허가정보.csv
2005-08-19,,,20091214,폐업,서울시광진구약국인허가정보.csv
2005-10-24,,,20090601,폐업,서울시광진구약국인허가정보.csv
2005-10-27,,,20190109,폐업,서울시광진구약국인허가정보.csv
2005-10-31,,,20130607,폐업,서울시광진구약국인허가정보.csv
2005-11-11,127.07219581180507,37.55612908398898,20181112,폐업,서울시광진구약국인허가정보.csv
2005-11-14,127.07141439349778,37.54067021045418,,영업/정상,서울시광진구약국인허가정보.csv
2006-02-01,,,20110803,폐업,서울시광진구약국인허가정보.csv
2006-02-01,,,20080930,폐업,서울시광진구약국인허가정보.csv
2006-03-31,127.09210845053221,37.55136433128223,,영업/정상,서울시광진구약국인허가정보.csv
2006-04-28,,,20111222,폐업,서울시광진구약국인허가정보.csv
2006-05-22,,,20090717,폐업,서울시광진구약국인허가정보.csv
2006-06-22,,,20110704,폐업,서울시광진구약국인허가정보.csv
2006-06-29,,,20091126,폐업,서울시광진구약국인허가정보.csv
2006-08-10,,,20080826,폐업,서울시광진구약국인허가정보.csv
2006-09-01,,,20090922,폐업,서울시광진구약국인허가정보.csv
2006-09-04,,,20090731,폐업,서울시광진구약국인허가정보.csv
2007-02-07,127.06897208257215,37.5484316084349,20200217,폐업,서울시광진구약국인허가정보.csv
2007-02-16,127.08063866860292,37.55712655976288,,영업/정상,서울시광진구약국인허가정보.csv
2007-02-27,127.07263204924841,37.53780315327301,,영업/정상,서울시광진구약국인허가정보.csv
2007-03-12,,,20081231,폐업,서울시광진구약국인허가정보.csv
2007-04-06,,,20090128,폐업,서울시광진구약국인허가정보.csv
2007-06-05,,,20110711,폐업,서울시광진구약국인허가정보.csv
2007-06-26,,,20100323,폐업,서울시광진구약국인허가정보.csv
2007-07-16,,,,영업/정상,서울시광진구약국인허가정보.csv
2007-08-02,,,,영업/정상,서울시광진구약국인허가정보.csv
2007-08-31,,,20091015,폐업,서울시광진구약국인허가정보.csv
2007-09-18,,,20120116,폐업,서울시광진구약국인허가정보.csv
2007-09-18,,,20120315,폐업,서울시광진구약국인허가정보.csv
2007-12-11,,,20110524,폐업,서울시광진구약국인허가정보.csv
2007-12-12,,,20100222,폐업,서울시광진구약국인허가정보.csv
2008-01-25,,,20090310,폐업,서울시광진구약국인허가정보.csv
2008-01-28,127.06934481348468,37.54838411601468,,영업/정상,서울시광진구약국인허가정보.csv
2008-02-14,,,20120917,폐업,서울시광진구약국인허가정보.csv
2008-03-03,127.0833650705087,37.569960384359234,20180813,폐업,서울시광진구약국인허가정보.csv
2008-03-31,,,20101101,폐업,서울시광진구약국인허가정보.csv
2008-05-01,127.08157227272403,37.56274957447902,20151102,폐업,서울시광진구약국인허가정보.csv
2008-05-01,,,20170313,폐업,서울시광진구약국인허가정보.csv
2008-05-21,,,20120918,폐업,서울시광진구약국인허가정보.csv
2008-06-13,127.06681840961237,37.53896319774618,,영업/정상,서울시광진구약국인허가정보.csv
2008-06-20,,,20110825,폐업,서울시광진구약국인허가정보.csv
2008-07-01,,,20110502,폐업,서울시광진구약국인허가정보.csv
2008-07-14,,,20120716,폐업,서울시광진구약국인허가정보.csv
2008-08-04,,,20090630,폐업,서울시광진구약국인허가정보.csv
2008-09-01,127.09481911565017,37.53990051748216,20130102,폐업,서울시광진구약국인허가정보.csv
2008-09-23,,,20091123,폐업,서울시광진구약국인허가정보.csv
2008-09-29,127.07997586540974,37.56391751225213,,영업/정상,서울시광진구약국인허가정보.csv
2008-10-01,127.07686145700764,37.532659417418174,20110901,폐업,서울시광진구약국인허가정보.csv
2008-11-28,127.08381254099031,37.56559525140854,20090520,폐업,서울시광진구약국인허가정보.csv
2008-12-02,127.09567151346072,37.540724383329106,20130530,폐업,서울시광진구약국인허가정보.csv
2008-12-08,127.08554453574494,37.531672472097796,20150427,폐업,서울시광진구약국인허가정보.csv
2008-12-16,127.08317857962744,37.53619915690629,,영업/정상,서울시광진구약국인허가정보.csv
2008-12-31,127.06793289181284,37.54114921193689,,영업/정상,서울시광진구약국인허가정보.csv
2009-01-02,127.06583062125445,37.53617532658561,,영업/정상,서울시광진구약국인허가정보.csv
2009-01-28,127.09381343327603,37.53952578744105,,영업/정상,서울시광진구약국인허가정보.csv
2009-02-03,127.07009125319972,37.532308425335046,20100406,폐업,서울시광진구약국인허가정보.csv
2009-04-07,127.0705830068998,37.54050735042929,,영업/정상,서울시광진구약국인허가정보.csv
2009-04-20,127.07970129869794,37.55671007349179,20100217,폐업,서울시광진구약국인허가정보.csv
2009-05-15,127.06370609395151,37.535947437491515,,영업/정상,서울시광진구약국인허가정보.csv
2009-05-28,,,,영업/정상,서울시광진구약국인허가정보.csv
2009-06-01,127.09341963333809,37.553105164082474,20180601,폐업,서울시광진구약국인허가정보.csv
2009-07-22,,,,영업/정상,서울시광진구약국인허가정보.csv
2009-07-27,127.06916413539635,37.53550518697734,20181218,폐업,서울시광진구약국인허가정보.csv
2009-08-04,127.08948233889095,37.55742571192278,20170711,폐업,서울시광진구약국인허가정보.csv
2009-09-16,127.07141439349778,37.54067021045418,20200106,폐업,서울시광진구약국인허가정보.csv
2009-09-19,127.07141439349778,37.54067021045418,20091215,폐업,서울시광진구약국인허가정보.csv
2009-10-05,127.08307882715397,37.534840309044775,20200105,폐업,서울시광진구약국인허가정보.csv
2009-10-15,127.08830409223404,37.55716851430022,20110207,폐업,서울시광진구약국인허가정보.csv
2009-11-23,127.08306904333573,37.53742511783782,20111208,폐업,서울시광진구약국인허가정보.csv
2009-11-26,127.08106204759423,37.56520035396787,20170901,폐업,서울시광진구약국인허가정보.csv
2009-12-14,127.0833650705087,37.569960384359234,20110722,폐업,서울시광진구약국인허가정보.csv
2009-12-15,127.07141439349778,37.54067021045418,,영업/정상,서울시광진구약국인허가정보.csv
2010-01-19,127.0718275497353,37.53407282513393,,영업/정상,서울시광진구약국인허가정보.csv
2010-02-23,127.063287877708,37.540195386430966,20100827,폐업,서울시광진구약국인허가정보.csv
2010-04-19,127.0844495500612,37.541807024040395,,영업/정상,서울시광진구약국인허가정보.csv
2010-05-13,127.08335315714224,37.55527509429352,20120319,폐업,서울시광진구약국인허가정보.csv
2010-06-10,127.06641017985066,37.54581548028679,20120113,폐업,서울시광진구약국인허가정보.csv
2010-06-28,127.0821776704664,37.53554869412252,,영업/정상,서울시광진구약국인허가정보.csv
2010-08-02,127.08216691606272,37.55651536676605,2023-09-13,폐업,서울시광진구약국인허가정보.csv
2010-08-23,,,20101027,취소/말소/만료/정지/중지,서울시광진구약국인허가정보.csv
2010-08-23,127.08191057516937,37.534145507705965,20161226,폐업,서울시광진구약국인허가정보.csv
2010-08-23,,,20140811,폐업,서울시광진구약국인허가정보.csv
2010-08-30,127.063287877708,37.540195386430966,20110502,폐업,서울시광진구약국인허가정보.csv
2010-09-01,127.08346909052271,37.56385854383538,20120801,폐업,서울시광진구약국인허가정보.csv
2010-11-01,127.09165553242403,37.551321313527474,,영업/정상,서울시광진구약국인허가정보.csv
2010-12-30,127.06762329161407,37.54063543435256,,영업/정상,서울시광진구약국인허가정보.csv
2011-01-03,127.07884108189555,37.55688797724827,,영업/정상,서울시광진구약국인허가정보.csv
2011-01-06,127.08429728306217,37.53560300038688,20140414,폐업,서울시광진구약국인허가정보.csv
2011-02-07,127.08830409223404,37.55716851430022,20130429,폐업,서울시광진구약국인허가정보.csv
2011-03-03,127.06806022704033,37.53298921874703,20130328,폐업,서울시광진구약국인허가정보.csv
2011-03-04,127.08121250635425,37.53177794567232,20131209,폐업,서울시광진구약국인허가정보.csv
2011-03-07,,,,영업/정상,서울시광진구약국인허가정보.csv
2011-04-01,127.08354158042414,37.56406892861648,20140102,폐업,서울시광진구약국인허가정보.csv
2011-04-05,127.08090699665654,37.564965979822425,20151021,폐업,서울시광진구약국인허가정보.csv
2011-05-02,127.07954846770227,37.53221316038945,20140219,폐업,서울시광진구약국인허가정보.csv
2011-05-02,127.063287877708,37.540195386430966,20210430,폐업,서울시광진구약국인허가정보.csv
2011-05-04,,,20110519,폐업,서울시광진구약국인허가정보.csv
2011-06-01,127.08621518347165,37.543499247116465,20120430,폐업,서울시광진구약국인허가정보.csv
2011-06-21,127.08826017206592,37.55764911339072,20120626,폐업,서울시광진구약국인허가정보.csv
2011-07-22,127.0833650705087,37.569960384359234,20111226,폐업,서울시광진구약국인허가정보.csv
