인허가일자,좌표정보(X),좌표정보(Y),폐업일자,영업상태명,정보
1969-06-11,127.08385414615708,37.53506166377523,,영업/정상,서울시광진구의원인허가정보.csv
1970-08-25,127.06265146806875,37.539271863158724,20160311,폐업,서울시광진구의원인허가정보.csv
1973-04-04,127.06897208257215,37.5484316084349,20201013,폐업,서울시광진구의원인허가정보.csv
1973-06-27,127.07174620197344,37.548178288333276,,영업/정상,서울시광진구의원인허가정보.csv
1973-10-31,127.08519132927637,37.54415601085944,20141001,폐업,서울시광진구의원인허가정보.csv
1973-12-20,127.09027896862766,37.55167616555888,,영업/정상,서울시광진구의원인허가정보.csv
1974-05-21,127.08102785863868,37.56255342745895,20200531,폐업,서울시광진구의원인허가정보.csv
1974-05-23,127.07997586540974,37.56391751225213,,영업/정상,서울시광진구의원인허가정보.csv
1974-08-06,127.0880626304596,37.55511606215939,20001004,폐업,서울시광진구의원인허가정보.csv
1975-09-02,127.08933505487566,37.55327030074628,,영업/정상,서울시광진구의원인허가정보.csv
1976-04-17,127.08748492005857,37.559075240355945,20110512,폐업,서울시광진구의원인허가정보.csv
1976-04-29,,,20190822,폐업,서울시광진구의원인허가정보.csv
1976-07-29,127.08140552467796,37.56654974353319,20160401,폐업,서울시광진구의원인허가정보.csv
1977-03-05,127.08947035139195,37.53896209229271,,영업/정상,서울시광진구의원인허가정보.csv
1977-08-02,127.06692524532052,37.538622109753916,20190630,폐업,서울시광진구의원인허가정보.csv
1977-12-07,127.06897208257215,37.5484316084349,20190309,폐업,서울시광진구의원인허가정보.csv
1978-01-13,,,20111116,폐업,서울시광진구의원인허가정보.csv
1978-03-16,127.0828444442457,37.53951932425292,,영업/정상,서울시광진구의원인허가정보.csv
1978-05-04,127.08379948077976,37.537032367208546,20190501,폐업,서울시광진구의원인허가정보.csv
1978-05-31,127.08973205194407,37.5526149170352,20170414,폐업,서울시광진구의원인허가정보.csv
1979-02-22,127.08310393685609,37.53563046133273,,영업/정상,서울시광진구의원인허가정보.csv
1979-09-26,127.08923032645905,37.5445965151581,,영업/정상,서울시광진구의원인허가정보.csv
1979-12-05,127.07921819971119,37.55603990129001,,영업/정상,서울시광진구의원인허가정보.csv
1980-04-12,127.08878237557987,37.554043647153236,,영업/정상,서울시광진구의원인허가정보.csv
1980-09-13,127.0698666984293,37.54785422866569,,영업/정상,서울시광진구의원인허가정보.csv
1980-11-15,,,,영업/정상,서울시광진구의원인허가정보.csv
1981-04-01,,,,영업/정상,서울시광진구의원인허가정보.csv
1982-03-26,127.0653935879593,37.53588092489884,,영업/정상,서울시광진구의원인허가정보.csv
1982-04-15,127.07106020801491,37.5500669950152,20160118,폐업,서울시광진구의원인허가정보.csv
1982-05-04,127.07884108189555,37.55688797724827,,영업/정상,서울시광진구의원인허가정보.csv
1982-05-12,,,20100902,폐업,서울시광진구의원인허가정보.csv
1983-01-15,127.08518019141431,37.53218057499969,,영업/정상,서울시광진구의원인허가정보.csv
1983-02-09,127.06833402852695,37.53581426778434,20150930,폐업,서울시광진구의원인허가정보.csv
1983-12-29,127.0810579662233,37.56589981860698,,영업/정상,서울시광진구의원인허가정보.csv
1984-01-30,127.08183717319334,37.55660496182254,20190630,폐업,서울시광진구의원인허가정보.csv
1984-03-09,,,2023-05-14,폐업,서울시광진구의원인허가정보.csv
1984-04-23,127.08352253395843,37.53596954072358,,영업/정상,서울시광진구의원인허가정보.csv
1984-04-26,127.0888337908828,37.55385525178603,,영업/정상,서울시광진구의원인허가정보.csv
1984-05-29,,,,영업/정상,서울시광진구의원인허가정보.csv
1984-07-03,127.06762329161407,37.54063543435256,,영업/정상,서울시광진구의원인허가정보.csv
1984-07-25,127.08298159637182,37.53788689184881,,영업/정상,서울시광진구의원인허가정보.csv
1984-08-04,127.08284607726098,37.56383211845479,,영업/정상,서울시광진구의원인허가정보.csv
1984-10-25,,,20120406,폐업,서울시광진구의원인허가정보.csv
1984-12-04,127.0653935879593,37.53588092489884,,영업/정상,서울시광진구의원인허가정보.csv
1985-02-13,127.0803808232319,37.558390475791946,,영업/정상,서울시광진구의원인허가정보.csv
1985-02-19,,,,영업/정상,서울시광진구의원인허가정보.csv
1985-02-22,,,,영업/정상,서울시광진구의원인허가정보.csv
1985-05-10,127.08826633668211,37.554214382005675,,영업/정상,서울시광진구의원인허가정보.csv
1985-08-26,127.06508879337439,37.53598371289615,,영업/정상,서울시광진구의원인허가정보.csv
1985-12-19,127.08870789782999,37.5444984116747,,영업/정상,서울시광진구의원인허가정보.csv
1986-01-23,127.08575245179225,37.532374613249196,,영업/정상,서울시광진구의원인허가정보.csv
1986-02-06,127.10664545874631,37.54704415363309,20160503,폐업,서울시광진구의원인허가정보.csv
1986-04-16,127.0833650705087,37.569960384359234,20220810,폐업,서울시광진구의원인허가정보.csv
1986-05-08,127.07021986388057,37.54856797427388,,영업/정상,서울시광진구의원인허가정보.csv
1986-05-14,127.06463461295345,37.53727788873293,,영업/정상,서울시광진구의원인허가정보.csv
1986-05-27,127.08554453574494,37.531672472097796,,영업/정상,서울시광진구의원인허가정보.csv
1986-06-12,127.09727180153826,37.541344149582045,20191031,폐업,서울시광진구의원인허가정보.csv
1986-10-27,,,,영업/정상,서울시광진구의원인허가정보.csv
1987-02-05,127.07529904336668,37.533107133757504,,영업/정상,서울시광진구의원인허가정보.csv
1987-02-07,127.06762329161407,37.54063543435256,,영업/정상,서울시광진구의원인허가정보.csv
1987-03-06,,,,영업/정상,서울시광진구의원인허가정보.csv
1987-04-03,127.06682657188816,37.533088355928726,,영업/정상,서울시광진구의원인허가정보.csv
1987-05-02,127.09771067346895,37.55405669375705,,영업/정상,서울시광진구의원인허가정보.csv
1987-05-02,,,,영업/정상,서울시광진구의원인허가정보.csv
1987-05-15,,,,영업/정상,서울시광진구의원인허가정보.csv
1987-08-27,,,,영업/정상,서울시광진구의원인허가정보.csv
1987-09-30,,,20170821,폐업,서울시광진구의원인허가정보.csv
1987-10-14,127.06873288570813,37.542474306661006,,영업/정상,서울시광진구의원인허가정보.csv
1988-01-08,127.0653935879593,37.53588092489884,,영업/정상,서울시광진구의원인허가정보.csv
1988-02-24,127.08259339293687,37.568634917090975,20121012,폐업,서울시광진구의원인허가정보.csv
1988-02-29,127.08411854650586,37.53636927482538,,영업/정상,서울시광진구의원인허가정보.csv
1988-04-28,127.07939173761001,37.531929983093946,,영업/정상,서울시광진구의원인허가정보.csv
1988-04-28,127.0672128505245,37.535784456921135,,영업/정상,서울시광진구의원인허가정보.csv
1988-05-03,,,,영업/정상,서울시광진구의원인허가정보.csv
1988-05-27,127.08518825264827,37.53790197967696,,영업/정상,서울시광진구의원인허가정보.csv
1988-06-11,127.07089120479499,37.55077083038139,,영업/정상,서울시광진구의원인허가정보.csv
2014-11-20,,,,영업/정상,서울시광진구의원인허가정보.csv
1989-01-19,127.08577925626457,37.53780098701948,,영업/정상,서울시광진구의원인허가정보.csv
1989-03-16,127.08595673277077,37.54524387012326,,영업/정상,서울시광진구의원인허가정보.csv
1989-04-17,,,,영업/정상,서울시광진구의원인허가정보.csv
1989-04-29,127.08575245179225,37.532374613249196,,영업/정상,서울시광진구의원인허가정보.csv
1989-05-03,,,,영업/정상,서울시광진구의원인허가정보.csv
1989-06-10,127.08597921345434,37.53223852358188,,영업/정상,서울시광진구의원인허가정보.csv
1989-10-27,127.08292167645438,37.56292404494739,,영업/정상,서울시광진구의원인허가정보.csv
1989-11-28,127.08575245179225,37.532374613249196,,영업/정상,서울시광진구의원인허가정보.csv
