인허가일자,좌표정보(X),좌표정보(Y),폐업일자,영업상태명,정보
2008-03-17,127.06151367942023,37.53424149635366,20191011,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2008-03-20,127.08705397728686,37.56421227589535,,영업/정상,서울시광진구집단급식소식품판매업인허가정보.csv
2008-03-20,127.07934341190357,37.57014869060756,20090910,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2008-04-02,127.08276885922014,37.55766595787453,20090218,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2008-07-03,127.10836660199975,37.54892231124177,20081201,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2008-07-15,127.07751476788529,37.56251040984939,,영업/정상,서울시광진구집단급식소식품판매업인허가정보.csv
2008-08-22,127.06584467429127,37.544506757152895,20131209,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2008-08-25,127.08276885922014,37.55766595787453,20160801,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2008-08-29,127.0885575657357,37.55708428944374,20130311,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2008-09-04,127.0779473813082,37.53441523970395,20190618,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2008-09-04,127.08809300975761,37.54403301827542,20130313,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2008-11-24,127.07504407112746,37.56226653658487,20090610,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2009-04-07,127.06655418169343,37.545322305489016,20101015,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2009-05-12,127.09188986057278,37.55812112694263,20110908,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2009-05-21,,,20120907,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2009-06-30,127.08438290824841,37.53704386446071,20111221,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2009-07-15,127.09413654057242,37.53849308586329,20110908,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2009-08-21,127.087052992473,37.53176561149853,20120813,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2010-01-28,127.08784525239356,37.55342960115751,,영업/정상,서울시광진구집단급식소식품판매업인허가정보.csv
2010-02-12,127.08249126512573,37.55724067716189,20110517,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2010-06-04,127.08676601690253,37.555297458063414,20190215,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2010-10-08,,,20120724,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2011-01-14,127.09454346310747,37.559971762050466,20181008,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2011-01-24,127.06542035795496,37.53714964743491,20110429,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2011-04-27,127.08292244667935,37.53929409095151,20120530,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2011-05-25,127.0866663898634,37.57072570743342,20140926,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2011-07-04,127.08679446868639,37.538350137742185,20120903,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2011-07-04,127.07962904288178,37.56412661824684,20120517,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2011-07-26,127.10352522393879,37.546527867574625,20130318,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2011-10-06,127.08489162394349,37.53266519414791,20220415,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2011-10-20,127.0856095393862,37.53147742047301,20120607,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2011-10-20,,,20210315,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2012-02-14,127.06504511942666,37.534764054590894,20190916,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2012-05-14,127.09171944997519,37.543564476645486,20140127,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2012-05-23,127.08110315607057,37.53210110376274,20161228,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2012-06-04,,,20130313,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2012-10-10,127.08089391035594,37.52866010292284,20150324,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2012-11-12,127.0856095393862,37.53147742047301,20140512,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2013-06-03,127.08314292843275,37.558999857092054,20210127,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2013-07-24,127.07940210066074,37.53282670738358,20161222,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2013-10-16,,,20210514,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2014-04-24,127.07712360815957,37.55962417222554,,영업/정상,서울시광진구집단급식소식품판매업인허가정보.csv
2014-08-06,127.08216755585079,37.566286042365206,20160920,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2014-08-20,127.0868058111626,37.54614113325625,20160401,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2015-12-16,127.08884292288174,37.548653396635686,,영업/정상,서울시광진구집단급식소식품판매업인허가정보.csv
2016-01-19,,,20191127,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
2016-02-22,127.08801404890295,37.54388019302512,,영업/정상,서울시광진구집단급식소식품판매업인허가정보.csv
2016-07-11,127.07939726166718,37.56512216041271,,영업/정상,서울시광진구집단급식소식품판매업인허가정보.csv
2016-07-07,127.08302439551653,37.56266395837949,2023-06-20,폐업,서울시광진구집단급식소식품판매업인허가정보.csv
