인허가일자,좌표정보(X),좌표정보(Y),폐업일자,영업상태명,정보
1961-11-11,,,20010709,폐업,서울시광진구집단급식소인허가정보.csv
1979-05-01,127.07414478515197,37.530079654235344,,영업/정상,서울시광진구집단급식소인허가정보.csv
1982-04-19,127.08733785426367,37.55039550372254,,영업/정상,서울시광진구집단급식소인허가정보.csv
1990-05-11,,,20000818,폐업,서울시광진구집단급식소인허가정보.csv
1990-06-23,127.07372514836767,37.54254118739361,20050809,폐업,서울시광진구집단급식소인허가정보.csv
1990-10-05,127.06693431116499,37.539787801601285,20000613,폐업,서울시광진구집단급식소인허가정보.csv
1990-06-13,127.09358546447395,37.533917649584474,20080604,폐업,서울시광진구집단급식소인허가정보.csv
1990-06-23,127.07372514836767,37.54254118739361,,영업/정상,서울시광진구집단급식소인허가정보.csv
1990-05-11,127.08579213010904,37.5650127443093,,영업/정상,서울시광진구집단급식소인허가정보.csv
1991-07-01,127.06481320738243,37.541500321514484,19990515,폐업,서울시광진구집단급식소인허가정보.csv
1991-06-25,127.08346397437663,37.53518877594213,,영업/정상,서울시광진구집단급식소인허가정보.csv
1991-11-02,127.08244887442058,37.53841971497911,,영업/정상,서울시광진구집단급식소인허가정보.csv
1992-04-29,127.07411890145575,37.55069265920846,,영업/정상,서울시광진구집단급식소인허가정보.csv
1992-05-02,127.0895312877035,37.53293705466001,,영업/정상,서울시광진구집단급식소인허가정보.csv
1995-02-06,127.07411890145575,37.55069265920846,20150224,폐업,서울시광진구집단급식소인허가정보.csv
1995-03-24,127.11132354910347,37.55568577116454,,영업/정상,서울시광진구집단급식소인허가정보.csv
1995-06-03,127.09363621377389,37.54213641511946,20010502,폐업,서울시광진구집단급식소인허가정보.csv
1996-03-20,127.08441517086277,37.535307343744606,20000316,폐업,서울시광진구집단급식소인허가정보.csv
1996-04-29,127.11132354910347,37.55568577116454,20020225,폐업,서울시광진구집단급식소인허가정보.csv
1996-06-11,,,20070618,폐업,서울시광진구집단급식소인허가정보.csv
1996-06-11,,,19971107,폐업,서울시광진구집단급식소인허가정보.csv
1996-06-26,127.08588404319879,37.535479969048964,,영업/정상,서울시광진구집단급식소인허가정보.csv
1996-08-01,127.09763894527569,37.55080230827983,,영업/정상,서울시광진구집단급식소인허가정보.csv
1996-03-18,127.10372862992536,37.55019878678403,,영업/정상,서울시광진구집단급식소인허가정보.csv
1997-05-07,,,20150224,폐업,서울시광진구집단급식소인허가정보.csv
1998-03-24,127.08870185001213,37.53539683875218,,영업/정상,서울시광진구집단급식소인허가정보.csv
1998-06-02,127.09576477877151,37.53569972088515,,영업/정상,서울시광진구집단급식소인허가정보.csv
1998-06-30,127.07269648031502,37.55697089833489,19981029,폐업,서울시광진구집단급식소인허가정보.csv
1998-07-16,127.10093562309879,37.54081274340754,,영업/정상,서울시광진구집단급식소인허가정보.csv
1998-07-16,127.08420681245738,37.55796566848293,,영업/정상,서울시광진구집단급식소인허가정보.csv
1998-12-17,127.07121102038997,37.544196148413256,2023-02-28,폐업,서울시광진구집단급식소인허가정보.csv
1998-01-22,127.0828429496834,37.54483175915604,19990506,폐업,서울시광진구집단급식소인허가정보.csv
1999-03-04,127.09170268383505,37.53735757917814,,영업/정상,서울시광진구집단급식소인허가정보.csv
1999-03-04,127.0715246105674,37.54372587425905,,영업/정상,서울시광진구집단급식소인허가정보.csv
1999-01-05,127.09882342858202,37.55338080087098,,영업/정상,서울시광진구집단급식소인허가정보.csv
1999-01-29,127.07553238370308,37.53007407122082,,영업/정상,서울시광진구집단급식소인허가정보.csv
1999-01-29,127.08071120269749,37.54425090775416,20090706,폐업,서울시광진구집단급식소인허가정보.csv
1999-02-01,127.08855916026626,37.56683912505179,,영업/정상,서울시광진구집단급식소인허가정보.csv
1999-02-03,127.07954493847636,37.53683054353512,,영업/정상,서울시광진구집단급식소인허가정보.csv
1999-02-03,127.07278597342828,37.53455319398547,,영업/정상,서울시광진구집단급식소인허가정보.csv
1999-02-03,127.06918754621913,37.53459849478715,,영업/정상,서울시광진구집단급식소인허가정보.csv
1999-02-09,127.08972833299754,37.530740918108236,,영업/정상,서울시광진구집단급식소인허가정보.csv
1999-02-09,127.0830970690751,37.53116790674816,,영업/정상,서울시광진구집단급식소인허가정보.csv
1999-03-06,127.07980837195863,37.56588218077496,,영업/정상,서울시광진구집단급식소인허가정보.csv
1999-04-07,127.0868250584861,37.54263093598948,,영업/정상,서울시광진구집단급식소인허가정보.csv
1999-04-15,127.07221302313371,37.535167126879216,,영업/정상,서울시광진구집단급식소인허가정보.csv
1999-05-27,127.08776563035325,37.536752550534956,20170428,폐업,서울시광진구집단급식소인허가정보.csv
1999-07-23,127.08776563035325,37.536752550534956,20171208,폐업,서울시광진구집단급식소인허가정보.csv
1999-08-30,127.10212727080945,37.54121766502475,,영업/정상,서울시광진구집단급식소인허가정보.csv
1999-10-25,127.08870185001213,37.53539683875218,20191210,폐업,서울시광진구집단급식소인허가정보.csv
1999-11-30,127.10131454769616,37.54822600959636,,영업/정상,서울시광진구집단급식소인허가정보.csv
1999-12-07,127.0862368897955,37.52934341067171,20050311,폐업,서울시광진구집단급식소인허가정보.csv
2000-03-03,127.0825084188762,37.56515004041179,,영업/정상,서울시광진구집단급식소인허가정보.csv
2000-03-18,,,,영업/정상,서울시광진구집단급식소인허가정보.csv
2000-04-21,127.07411890145575,37.55069265920846,20130103,폐업,서울시광진구집단급식소인허가정보.csv
2000-05-29,127.06345522192066,37.53330101590402,,영업/정상,서울시광진구집단급식소인허가정보.csv
2000-06-08,127.08961878623894,37.531786540633135,,영업/정상,서울시광진구집단급식소인허가정보.csv
2000-06-12,127.08697586672062,37.53421083452497,20130222,폐업,서울시광진구집단급식소인허가정보.csv
2001-05-24,127.08882557681109,37.565794940466,,영업/정상,서울시광진구집단급식소인허가정보.csv
2001-06-12,127.10372862992536,37.55019878678403,20111011,폐업,서울시광진구집단급식소인허가정보.csv
2001-09-28,127.0838392641272,37.542823486376676,,영업/정상,서울시광진구집단급식소인허가정보.csv
2001-12-13,127.07421868900745,37.53535847087128,,영업/정상,서울시광진구집단급식소인허가정보.csv
2002-04-15,127.08567299690606,37.54475412235602,20121116,폐업,서울시광진구집단급식소인허가정보.csv
2002-04-19,127.0762742541406,37.552307130833,,영업/정상,서울시광진구집단급식소인허가정보.csv
