인허가일자,좌표정보(X),좌표정보(Y),폐업일자,영업상태명,정보
1989-09-28,127.06688128123037,37.53907334432479,,영업/정상,서울시광진구체육도장업인허가정보.csv
1989-10-04,127.0782815747386,37.52860096257997,,영업/정상,서울시광진구체육도장업인허가정보.csv
1989-10-05,127.0759297607999,37.53296312410878,20130731,취소/말소/만료/정지/중지,서울시광진구체육도장업인허가정보.csv
1989-10-26,,,,영업/정상,서울시광진구체육도장업인허가정보.csv
1989-11-07,127.08675513492273,37.5452400558881,20031117,폐업,서울시광진구체육도장업인허가정보.csv
1989-11-11,127.0693556805813,37.54474193051478,20140724,폐업,서울시광진구체육도장업인허가정보.csv
1989-11-11,127.08925858731777,37.5575166732283,20220214,폐업,서울시광진구체육도장업인허가정보.csv
1989-11-22,127.08212098880396,37.530632402084294,,영업/정상,서울시광진구체육도장업인허가정보.csv
1989-11-22,127.08286158807822,37.56845788516275,20140120,폐업,서울시광진구체육도장업인허가정보.csv
1989-11-30,127.09261141786028,37.55184320936502,,영업/정상,서울시광진구체육도장업인허가정보.csv
1989-12-11,127.0704995480443,37.53344962379034,,영업/정상,서울시광진구체육도장업인허가정보.csv
1989-12-11,127.08042078648182,37.535091198392095,,영업/정상,서울시광진구체육도장업인허가정보.csv
1989-12-11,127.0825132508549,37.570585212403635,,영업/정상,서울시광진구체육도장업인허가정보.csv
1989-12-16,127.0811797062661,37.565423355216375,,영업/정상,서울시광진구체육도장업인허가정보.csv
1989-12-19,127.08110214760264,37.55543916008841,,영업/정상,서울시광진구체육도장업인허가정보.csv
1989-12-19,127.08079368077706,37.56263786639741,,영업/정상,서울시광진구체육도장업인허가정보.csv
1989-12-19,,,20030903,폐업,서울시광진구체육도장업인허가정보.csv
1990-01-10,127.07125245175962,37.55230343189635,20121015,폐업,서울시광진구체육도장업인허가정보.csv
1991-02-19,127.08667273937093,37.563593922611155,19990225,폐업,서울시광진구체육도장업인허가정보.csv
1992-05-28,,,,영업/정상,서울시광진구체육도장업인허가정보.csv
1993-05-29,127.10679649998667,37.547393008912834,,영업/정상,서울시광진구체육도장업인허가정보.csv
1994-10-01,127.09587402591677,37.538627492316074,,영업/정상,서울시광진구체육도장업인허가정보.csv
1994-12-01,127.07006912749362,37.53504279299271,,영업/정상,서울시광진구체육도장업인허가정보.csv
1995-02-24,,,,영업/정상,서울시광진구체육도장업인허가정보.csv
1995-04-06,,,,영업/정상,서울시광진구체육도장업인허가정보.csv
1995-04-22,127.10347646229549,37.54686123045033,20091210,폐업,서울시광진구체육도장업인허가정보.csv
1995-04-25,127.07168092770193,37.53501473341788,20140327,폐업,서울시광진구체육도장업인허가정보.csv
1995-05-13,127.08277565474668,37.55828860367854,,영업/정상,서울시광진구체육도장업인허가정보.csv
1995-05-17,127.08545667132633,37.544831763602055,,영업/정상,서울시광진구체육도장업인허가정보.csv
1995-06-13,127.07497847958378,37.533629979949204,,영업/정상,서울시광진구체육도장업인허가정보.csv
1996-02-03,127.08344669660865,37.52857960312098,20220420,폐업,서울시광진구체육도장업인허가정보.csv
1996-03-18,127.091284395076,37.549265758483415,,영업/정상,서울시광진구체육도장업인허가정보.csv
1996-04-04,127.08087652312861,37.565660583005744,,영업/정상,서울시광진구체육도장업인허가정보.csv
1996-05-28,127.07441882081045,37.554158490106595,,영업/정상,서울시광진구체육도장업인허가정보.csv
1996-07-13,127.0876195126425,37.5578231113412,20110131,폐업,서울시광진구체육도장업인허가정보.csv
1996-07-19,127.06539802547466,37.53642756060094,,영업/정상,서울시광진구체육도장업인허가정보.csv
1996-08-09,127.06792680157703,37.548523910857085,,영업/정상,서울시광진구체육도장업인허가정보.csv
1996-11-27,127.08582995040518,37.53250634090323,,영업/정상,서울시광진구체육도장업인허가정보.csv
1997-01-21,127.06990025967433,37.54350266462557,20091210,폐업,서울시광진구체육도장업인허가정보.csv
1997-02-11,127.08977410821515,37.541648176227135,19990218,폐업,서울시광진구체육도장업인허가정보.csv
1997-04-28,127.07877155891484,37.53739664598446,,영업/정상,서울시광진구체육도장업인허가정보.csv
1997-05-27,127.06606686496754,37.53720357496946,,영업/정상,서울시광진구체육도장업인허가정보.csv
1997-05-30,127.06865092013497,37.54287124578726,,영업/정상,서울시광진구체육도장업인허가정보.csv
1997-07-04,,,,영업/정상,서울시광진구체육도장업인허가정보.csv
1997-08-11,127.09483528951186,37.540811903769416,19981230,폐업,서울시광진구체육도장업인허가정보.csv
1997-09-04,127.09309025019252,37.55487301671091,20170406,폐업,서울시광진구체육도장업인허가정보.csv
1997-09-23,127.09074507990782,37.544246290295725,,영업/정상,서울시광진구체육도장업인허가정보.csv
1997-11-12,127.08566853130804,37.56352674769587,20010912,폐업,서울시광진구체육도장업인허가정보.csv
1998-12-10,127.09036802358101,37.54445826988719,,영업/정상,서울시광진구체육도장업인허가정보.csv
1999-01-04,127.06911778274507,37.54268880122434,20091210,폐업,서울시광진구체육도장업인허가정보.csv
1999-04-20,127.08714386338796,37.563698318392674,,영업/정상,서울시광진구체육도장업인허가정보.csv
1999-08-05,127.06484469253576,37.53459437216351,20060427,폐업,서울시광진구체육도장업인허가정보.csv
1999-09-18,127.10266868012965,37.547109053219,,영업/정상,서울시광진구체육도장업인허가정보.csv
1999-09-18,127.11283429211407,37.556916933074206,,영업/정상,서울시광진구체육도장업인허가정보.csv
1999-10-23,127.07063544785228,37.54994969735747,,영업/정상,서울시광진구체육도장업인허가정보.csv
1999-10-28,127.08498482125779,37.530294314171286,,영업/정상,서울시광진구체육도장업인허가정보.csv
2000-01-27,127.08073221271367,37.533677315223535,20021030,폐업,서울시광진구체육도장업인허가정보.csv
2000-01-27,127.08637834247143,37.56167003000308,20140611,폐업,서울시광진구체육도장업인허가정보.csv
