,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry,geometry
정보,서울시광진구골프연습장업인허가정보.csv,서울시광진구공연장인허가정보.csv,서울시광진구관광숙박업인허가정보.csv,서울시광진구노래연습장업인허가정보.csv,서울시광진구단란주점영업인허가정보.csv,서울시광진구당구장업인허가정보.csv,서울시광진구대규모점포인허가정보.csv,서울시광진구동물병원인허가정보.csv,서울시광진구목욕장업인허가정보.csv,서울시광진구미용업인허가정보.csv,서울시광진구민방위대피시설인허가정보.csv,서울시광진구병원인허가정보.csv,서울시광진구세탁업인허가정보.csv,서울시광진구수영장업인허가정보.csv,서울시광진구숙박업인허가정보.csv,서울시광진구안전상비의약품판매업소인허가정보.csv,서울시광진구약국인허가정보.csv,서울시광진구영화상영관인허가정보.csv,서울시광진구외국인관광도시민박업인허가정보.csv,서울시광진구유흥주점영업인허가정보.csv,서울시광진구의원인허가정보.csv,서울시광진구일반음식점인허가정보.csv,서울시광진구제과점영업인허가정보.csv,서울시광진구집단급식소식품판매업인허가정보.csv,서울시광진구집단급식소인허가정보.csv,서울시광진구체육도장업인허가정보.csv,서울시광진구휴게음식점인허가정보.csv,cctv위치,단속장소,서울특별시 광진구_공영주차장 정보_20220118.csv,서울특별시 광진구_가로등 위치정보_20220214.csv
index_right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114287.0,0.0,0.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,13.0,1.0,0.0,3.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,10.0,46.0,2.0,0.0,4.0,2.0,18.0,0.0,170.0,2.0,15.0
114288.0,0.0,0.0,1.0,8.0,2.0,9.0,1.0,1.0,0.0,19.0,1.0,1.0,4.0,0.0,1.0,4.0,2.0,0.0,0.0,0.0,4.0,130.0,2.0,0.0,3.0,0.0,12.0,1.0,261.0,0.0,55.0
114746.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,53.0,1.0,0.0,11.0,0.0,0.0,5.0,6.0,0.0,2.0,0.0,16.0,127.0,5.0,2.0,8.0,6.0,58.0,2.0,3836.0,1.0,137.0
114747.0,6.0,4.0,1.0,64.0,9.0,39.0,6.0,1.0,0.0,123.0,0.0,1.0,7.0,1.0,3.0,33.0,18.0,18.0,2.0,0.0,57.0,798.0,24.0,0.0,14.0,6.0,229.0,9.0,4038.0,3.0,140.0
114748.0,0.0,3.0,4.0,16.0,5.0,27.0,1.0,2.0,1.0,69.0,3.0,1.0,11.0,0.0,18.0,22.0,7.0,0.0,1.0,7.0,23.0,324.0,8.0,0.0,15.0,7.0,90.0,3.0,1684.0,2.0,168.0
114749.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,2.0,0.0,8.0,0.0,31.0,0.0,32.0
115205.0,1.0,1.0,0.0,26.0,7.0,21.0,1.0,4.0,2.0,126.0,2.0,1.0,21.0,0.0,0.0,22.0,15.0,0.0,2.0,0.0,42.0,318.0,6.0,2.0,12.0,10.0,103.0,1.0,857.0,1.0,122.0
115206.0,1.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,1.0,31.0,2.0,0.0,5.0,0.0,1.0,12.0,1.0,0.0,1.0,0.0,6.0,126.0,2.0,0.0,8.0,2.0,42.0,1.0,142.0,0.0,108.0
115207.0,0.0,2.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,11.0,1.0,0.0,1.0,2.0,0.0,11.0,1.0,0.0,0.0,0.0,2.0,92.0,3.0,0.0,4.0,0.0,40.0,4.0,564.0,0.0,96.0
115208.0,3.0,0.0,2.0,36.0,10.0,28.0,1.0,4.0,0.0,143.0,4.0,2.0,13.0,0.0,8.0,31.0,17.0,9.0,0.0,0.0,42.0,528.0,10.0,4.0,4.0,11.0,133.0,5.0,1892.0,3.0,268.0
115664.0,5.0,1.0,1.0,4.0,4.0,7.0,1.0,3.0,3.0,35.0,0.0,1.0,7.0,0.0,1.0,12.0,6.0,0.0,1.0,2.0,15.0,94.0,3.0,2.0,13.0,6.0,34.0,6.0,1513.0,1.0,118.0
115665.0,4.0,0.0,1.0,35.0,15.0,24.0,0.0,5.0,1.0,116.0,7.0,0.0,21.0,1.0,4.0,29.0,11.0,0.0,0.0,4.0,31.0,446.0,9.0,1.0,13.0,8.0,129.0,3.0,1404.0,2.0,154.0
115666.0,1.0,1.0,0.0,14.0,3.0,12.0,2.0,2.0,0.0,57.0,2.0,2.0,13.0,0.0,3.0,12.0,14.0,0.0,2.0,0.0,33.0,187.0,10.0,2.0,11.0,2.0,71.0,3.0,599.0,0.0,119.0
115667.0,3.0,0.0,0.0,14.0,5.0,13.0,2.0,2.0,4.0,91.0,0.0,0.0,15.0,0.0,7.0,22.0,8.0,0.0,0.0,0.0,32.0,228.0,9.0,2.0,13.0,4.0,74.0,2.0,3911.0,2.0,155.0
116123.0,1.0,11.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,57.0,4.0,0.0,1.0,0.0,30.0,4.0,2753.0,0.0,85.0
116124.0,9.0,0.0,0.0,6.0,3.0,7.0,4.0,3.0,0.0,37.0,2.0,0.0,3.0,1.0,2.0,8.0,10.0,0.0,0.0,0.0,35.0,124.0,9.0,0.0,9.0,4.0,61.0,3.0,4164.0,3.0,203.0
