서울시광진구골프연습장업인허가정보.csv,서울시광진구공연장인허가정보.csv,서울시광진구관광숙박업인허가정보.csv,서울시광진구노래연습장업인허가정보.csv,서울시광진구단란주점영업인허가정보.csv,서울시광진구당구장업인허가정보.csv,서울시광진구대규모점포인허가정보.csv,서울시광진구동물병원인허가정보.csv,서울시광진구목욕장업인허가정보.csv,서울시광진구미용업인허가정보.csv,서울시광진구민방위대피시설인허가정보.csv,서울시광진구병원인허가정보.csv,서울시광진구세탁업인허가정보.csv,서울시광진구수영장업인허가정보.csv,서울시광진구숙박업인허가정보.csv,서울시광진구안전상비의약품판매업소인허가정보.csv,서울시광진구약국인허가정보.csv,서울시광진구영화상영관인허가정보.csv,서울시광진구외국인관광도시민박업인허가정보.csv,서울시광진구유흥주점영업인허가정보.csv,서울시광진구의원인허가정보.csv,서울시광진구일반음식점인허가정보.csv,서울시광진구제과점영업인허가정보.csv,서울시광진구집단급식소식품판매업인허가정보.csv,서울시광진구집단급식소인허가정보.csv,서울시광진구체육도장업인허가정보.csv,서울시광진구휴게음식점인허가정보.csv,cctv위치,단속장소,서울특별시 광진구_공영주차장 정보_20220118.csv,서울특별시 광진구_가로등 위치정보_20220214.csv,정보_105102.0,정보_114287.0,정보_114288.0,정보_114746.0,정보_114747.0,정보_114748.0,정보_114749.0,정보_115205.0,정보_115206.0,정보_115207.0,정보_115208.0,정보_115664.0,정보_115665.0,정보_115666.0,정보_115667.0,정보_116123.0,정보_116124.0,정보_116125.0,정보_116126.0,정보_116583.0,정보_116584.0,정보_116585.0,수집순서_1_수집순서,수집순서_2_수집순서,수집순서_3_수집순서
0.0,0.0,0.0,8.0,2.0,4.0,0.0,0.0,0.0,11.0,1.0,0.0,3.0,0.0,2.0,5.0,3.0,0.0,0.0,0.0,10.0,48.0,1.0,0.0,3.0,2.0,17.0,0.0,127.0,2.0,15.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
0.0,0.0,1.0,9.0,2.0,9.0,1.0,1.0,0.0,17.0,1.0,1.0,4.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,4.0,123.0,2.0,0.0,3.0,0.0,12.0,1.0,192.0,0.0,55.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
1.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,52.0,1.0,0.0,11.0,0.0,0.0,4.0,5.0,0.0,1.0,0.0,16.0,117.0,3.0,2.0,8.0,6.0,46.0,0.0,4101.0,1.0,137.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
6.0,4.0,1.0,66.0,10.0,38.0,6.0,1.0,1.0,116.0,0.0,1.0,7.0,1.0,3.0,31.0,16.0,18.0,2.0,0.0,53.0,749.0,17.0,0.0,13.0,5.0,197.0,5.0,5959.0,3.0,140.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
0.0,2.0,4.0,16.0,6.0,26.0,1.0,2.0,2.0,60.0,3.0,1.0,11.0,0.0,22.0,21.0,7.0,0.0,0.0,7.0,22.0,291.0,5.0,0.0,16.0,7.0,82.0,2.0,1821.0,2.0,168.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,3.0,0.0,6.0,0.0,63.0,0.0,32.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
1.0,1.0,0.0,26.0,7.0,21.0,1.0,4.0,2.0,115.0,2.0,1.0,25.0,0.0,0.0,19.0,13.0,0.0,2.0,0.0,40.0,298.0,7.0,2.0,12.0,10.0,90.0,1.0,2242.0,1.0,122.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
1.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,1.0,28.0,2.0,0.0,6.0,0.0,3.0,10.0,1.0,0.0,1.0,0.0,6.0,126.0,1.0,0.0,7.0,2.0,40.0,0.0,173.0,0.0,108.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
0.0,2.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,8.0,1.0,0.0,2.0,2.0,0.0,9.0,1.0,0.0,0.0,0.0,2.0,89.0,2.0,0.0,4.0,0.0,30.0,4.0,450.0,0.0,96.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
3.0,0.0,2.0,38.0,10.0,27.0,1.0,4.0,0.0,124.0,3.0,2.0,12.0,0.0,8.0,26.0,15.0,9.0,0.0,1.0,42.0,475.0,10.0,6.0,6.0,11.0,99.0,4.0,1544.0,3.0,268.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
5.0,1.0,1.0,6.0,4.0,7.0,1.0,4.0,3.0,35.0,0.0,1.0,7.0,0.0,1.0,12.0,6.0,0.0,1.0,2.0,15.0,91.0,3.0,2.0,13.0,6.0,29.0,4.0,1071.0,1.0,118.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
5.0,0.0,1.0,36.0,16.0,25.0,0.0,5.0,1.0,102.0,7.0,0.0,22.0,1.0,5.0,25.0,9.0,0.0,0.0,4.0,30.0,408.0,8.0,1.0,13.0,6.0,103.0,3.0,1092.0,2.0,154.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0
1.0,1.0,0.0,14.0,3.0,13.0,2.0,3.0,1.0,52.0,2.0,2.0,12.0,0.0,3.0,12.0,12.0,0.0,0.0,0.0,31.0,175.0,7.0,2.0,10.0,2.0,64.0,2.0,504.0,0.0,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0
