개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모,,정보
3040000,CDFE1230001975000001,19750929,,01,영업/정상,13,영업중,,,,,2204-6024,,143847,서울특별시 광진구 능동 18-11번지 ,서울특별시 광진구 광나루로 441 (능동),143847,무지개극장,2019-11-04 13:41:22,U,2019-11-29 02:40:00.0,,206808.576422948    ,449396.05799662     ,공연장,공연장,,0,,,,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,0,,서울시광진구공연장인허가정보.csv
3040000,CDFE1230001981000001,19810120,,01,영업/정상,13,영업중,,,,,2204-1036,,,서울특별시 광진구 능동 25 ,서울특별시 광진구 천호대로 664 (능동, 선화예술중고등학교),04991,유니버설 아트센터,2021-01-17 14:02:53,U,2021-01-19 02:40:00.0,,207648.121842767    ,449795.634126694    ,공연장,공연장,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,서울시광진구공연장인허가정보.csv
3040000,CDFE1230001992000001,19920602,,03,폐업,03,폐업,20000615,,,,453-0121,,143210,서울특별시 광진구 광장동 산 21-0번지 ,,,워커힐민속예술단,2003-05-13 11:34:49,I,2018-08-31 23:59:59.0,,,,공연장,공연장,,0,,,,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,0,,서울시광진구공연장인허가정보.csv
3040000,CDFE1230001998000001,19980211,,01,영업/정상,13,영업중,,,,,3408-3114,,143839,서울특별시 광진구 군자동 98번지 ,,,대양홀,2018-11-07 13:43:17,U,2018-11-09 02:36:18.0,,206479.980833988    ,449827.630945538    ,공연장,공연장,,,,,,문화시설,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,서울시광진구공연장인허가정보.csv
3040000,CDFE1230001998000002,19980325,,04,취소/말소/만료/정지/중지,31,등록취소,,,,,3424-1611,,143721,서울특별시 광진구 구의동 546-4번지 테크노마트빌딩 ,서울특별시 광진구 광나루로56길 85 (구의동,테크노마트빌딩),,CGV강변11  2관,2017-02-27 14:53:10,I,2018-08-31 23:59:59.0,,208394.416382167    ,448165.279999905    ,공연장,공연장,,0,,,,,0,0,,,,,,,,,,,,0,,,,,,,,,,,,,0,서울시광진구공연장인허가정보.csv
3040000,CDFE1230001998000003,19980325,,04,취소/말소/만료/정지/중지,31,등록취소,,,,,3424-1611,,143721,서울특별시 광진구 구의동 546-4번지 테크노마트빌딩 ,서울특별시 광진구 광나루로56길 85 (구의동,테크노마트빌딩),,CGV강변11  3관,2017-02-27 14:53:26,I,2018-08-31 23:59:59.0,,208394.416382167    ,448165.279999905    ,공연장,공연장,,19,아파트지역,,,근린생활시설,13,6,,,,,,,,,,,,0,,,,,,,,,,,,,0,서울시광진구공연장인허가정보.csv
3040000,CDFE1230001998000004,19980327,,04,취소/말소/만료/정지/중지,31,등록취소,,,,,3424-1611,,143721,서울특별시 광진구 구의동 546-4번지 테크노마트빌딩 ,서울특별시 광진구 광나루로56길 85 (구의동,테크노마트빌딩),,CGV강변11  10관,2017-02-27 14:53:39,I,2018-08-31 23:59:59.0,,208394.416382167    ,448165.279999905    ,공연장,공연장,,19,아파트지역,,,근린생활시설,13,6,,,,,,,,,,,,0,,,,,,,,,,,,,0,서울시광진구공연장인허가정보.csv
3040000,CDFE1230001998000005,19980327,,04,취소/말소/만료/정지/중지,31,등록취소,,,,,3424-1611,,143721,서울특별시 광진구 구의동 546-4번지 테크노마트빌딩 ,서울특별시 광진구 광나루로56길 85 (구의동,테크노마트빌딩),,CGV강변11  11관,2017-02-27 14:51:28,I,2018-08-31 23:59:59.0,,208394.416382167    ,448165.279999905    ,공연장,공연장,,19,아파트지역,,,근린생활시설,13,6,,,,,,,,,,,,0,,,,,,,,,,,,,0,서울시광진구공연장인허가정보.csv
3040000,CDFE1230001998000006,19980327,,04,취소/말소/만료/정지/중지,31,등록취소,,,,,3424-1611,,143721,서울특별시 광진구 구의동 546-4번지 테크노마트빌딩 ,서울특별시 광진구 광나루로56길 85 (구의동,테크노마트빌딩),,CGV강변11  1관,2017-02-27 14:53:52,I,2018-08-31 23:59:59.0,,208394.416382167    ,448165.279999905    ,공연장,공연장,,19,아파트지역,,,근린생활시설,13,6,,,,,,,,,,,,0,,,,,,,,,,,,,0,서울시광진구공연장인허가정보.csv
3040000,CDFE1230001998000007,19980327,,04,취소/말소/만료/정지/중지,31,등록취소,,,,,3424-1611,,143721,서울특별시 광진구 구의동 546-4번지 테크노마트빌딩 ,서울특별시 광진구 광나루로56길 85 (구의동,테크노마트빌딩),,CGV강변11  4관,2017-02-27 14:51:40,I,2018-08-31 23:59:59.0,,208394.416382167    ,448165.279999905    ,공연장,공연장,근린상업지역,19,아파트지역,,,근린생활시설,13,6,,,,,,,,,,,,0,,,,,,,,,,,,,0,서울시광진구공연장인허가정보.csv
