개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,문화사업자구분명,총층수,주변환경명,제작취급품목내용,시설면적,지상층수,지하층수,건물용도명,통로너비,조명시설조도,노래방실수,청소년실수,비상계단여부,비상구여부,자동환기여부,청소년실여부,특수조명여부,방음시설여부,비디오재생기명,조명시설유무,음향시설여부,편의시설여부,소방시설여부,총게임기수,기존게임업외업종명,제공게임물명,공연장형태구분명,품목명,최초등록시점,지역구분명,,,,,정보
3040000,CDFF3242051992000001,19920708,,03,폐업,03,폐업,20011024,,,,,,143915,서울특별시 광진구 화양동 119-5번지 ,,,팡팡노래방,2003-05-13 11:34:49,I,2018-08-31 23:59:59.0,,206173.255388979    ,449477.820728357    ,노래연습장업,유통관련업,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000002,19920709,,03,폐업,03,폐업,20100805,,,,466-6906,,,143915,서울특별시 광진구 화양동 111-124번지 4층 ,서울특별시 광진구 능동로 183  (화양동,4층),,스타노래방,2010-08-05 17:30:47,I,2018-08-31 23:59:59.0,,206437.707982171    ,449422.187668891    ,노래연습장업,유통관련업,,,,,,,,,,8,5,N,N,N,,N,N,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000003,19920709,,03,폐업,03,폐업,20040621,,,,457-0667,,143846,서울특별시 광진구 자양동 216-21번지 지층 ,서울특별시 광진구 아차산로 370  (자양동,지층),,시화노래연습장,2004-06-21 16:37:42,I,2018-08-31 23:59:59.0,,207365.009660992    ,448238.625106956    ,노래연습장업,유통관련업,,,,,,1,,,,10,6,N,N,N,N,N,N,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000004,19920709,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 자양동 553-20 지하 ,서울특별시 광진구 뚝섬로 514 (자양동),05085,와와노래연습장,2022-02-04 10:33:31,U,2022-02-06 02:40:00.0,,205875.677228254    ,448139.293042447    ,노래연습장업,유통관련업,0,,,0,0,0,근린생활시설,0,0,7,1,N,N,N,Y,N,N,,,,,,0,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000005,19920710,,03,폐업,03,폐업,20060828,,,,468-8505,,143914,서울특별시 광진구 화양동 6-2번지 2층 ,서울특별시 광진구 아차산로 241  (화양동,2층),,2002노래연습장,2006-08-28 14:41:53,I,2018-08-31 23:59:59.0,,206131.315540787    ,448712.391439589    ,노래연습장업,유통관련업,,,,,,,,,,14,5,N,N,N,N,N,N,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000006,19920710,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 구의동 220-218 지층,서울특별시 광진구 구의로 10-1 (구의동,지층),,스마일 노래연습장,2022-10-27 09:23:38,U,2021-10-30 22:09:00.0,,207837.750606919,448526.827417341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000007,19920710,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 구의동 252-79 지하1층 ,서울특별시 광진구 아차산로51길 37 (구의동),05043,블랙홀,2021-05-14 17:30:12,U,2021-06-08 02:40:00.0,,207421.741366427    ,448497.020026658    ,노래연습장업,유통관련업,,,,150,,1,,,,6,3,N,N,N,Y,N,N,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000009,19920710,20080722,04,취소/말소/만료/정지/중지,31,등록취소,,,,,444-3222,,143888,서울특별시 광진구 중곡동 93-4번지 ,서울특별시 광진구 용마산로 4  (중곡동),,라이브노래연습장,2008-12-11 13:14:30,I,2018-08-31 23:59:59.0,,207775.393626251    ,450200.655283827    ,노래연습장업,유통관련업,,,,,,,,,,6,2,N,N,N,N,N,N,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000010,19920710,,03,폐업,03,폐업,20100527,,,,469-5060,,143901,서울특별시 광진구 중곡동 193-52번지 2층 ,서울특별시 광진구 면목로 132-1  (중곡동,2층),,도레미,2010-05-28 09:29:57,I,2018-08-31 23:59:59.0,,207087.8448735      ,451428.393141132    ,노래연습장업,유통관련업,,,,,,,,,,4,4,N,N,N,Y,N,N,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000011,19920710,,03,폐업,03,폐업,20051103,,,,467-3550,,143842,서울특별시 광진구 자양동 24-5번지 ,서울특별시 광진구 동일로18길 11  (자양동),,25시노래방,2005-11-04 09:06:42,I,2018-08-31 23:59:59.0,,205548.689811343    ,448653.085751205    ,노래연습장업,유통관련업,,,,,,,,,,11,3,N,N,N,N,N,N,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000012,19920710,,03,폐업,03,폐업,20130304,,,,462-6606,,,서울특별시 광진구 화양동 112-14번지 3층 ,서울특별시 광진구 능동로19길 15  (화양동,3층),,ABC노래방,2013-03-04 11:39:39,I,2018-08-31 23:59:59.0,,206372.953292666    ,449415.431756293    ,노래연습장업,유통관련업,,,,104.93,,,근린생활시설,,,7,2,N,N,N,Y,N,N,,,,,,,,,,,,일반상업지역,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000013,19920710,,03,폐업,03,폐업,20000127,,,,463-2926,,143914,서울특별시 광진구 화양동 8-99번지 ,서울특별시 광진구 동일로22길 91  (화양동),,포지션노래방,2003-05-13 11:34:49,I,2018-08-31 23:59:59.0,,206058.232399427    ,448765.998185555    ,노래연습장업,유통관련업,0,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000014,19920711,,03,폐업,03,폐업,20051017,,,,2263-2261,,143915,서울특별시 광진구 화양동 112-12번지 ,서울특별시 광진구 능동로19길 11  (화양동),,소나타노래방,2005-10-17 13:28:34,I,2018-08-31 23:59:59.0,,206385.923387309    ,449411.913322466    ,노래연습장업,유통관련업,,,,,,,,,,8,5,N,N,N,N,N,N,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000015,19920711,,03,폐업,03,폐업,20120304,,,,463-9520,,,서울특별시 광진구 화양동 193-0번지 3층 ,서울특별시 광진구 광나루로18길 3  (화양동,3층),,화양25시,2012-03-07 15:16:47,I,2018-08-31 23:59:59.0,,206320.141878811    ,449462.053457045    ,노래연습장업,유통관련업,,,,,,,,,,9,2,N,N,N,Y,N,N,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000016,19920713,,01,영업/정상,13,영업중,,,,,462-2805,,,서울특별시 광진구 화양동 111-159번지 지층 ,서울특별시 광진구 능동로 177 (화양동),05009,OK 노래연습장,2020-04-01 18:09:59,U,2020-04-03 02:40:00.0,,206421.058813331    ,449363.492698063    ,노래연습장업,유통관련업,,유흥업소밀집지역,,96.23,,1,근린생활시설,,,5,3,N,N,N,Y,N,N,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000017,19920713,,03,폐업,03,폐업,20020807,,,,444-9218,,143826,서울특별시 광진구 구의동 252-11번지 ,서울특별시 광진구 자양로 126  (구의동),,성은노래방,2003-05-13 11:34:49,I,2018-08-31 23:59:59.0,,207336.338043482    ,448547.289497833    ,노래연습장업,유통관련업,0,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000018,19920713,,01,영업/정상,13,영업중,,,,,457-4313,,,서울특별시 광진구 구의동 246-27 ,서울특별시 광진구 아차산로49길 11, 지층 (구의동),05044,스타노래방,2022-03-17 17:47:44,U,2022-03-19 02:40:00.0,,207395.16949995     ,448353.625286977    ,노래연습장업,유통관련업,0,,,0,0,1,,0,0,5,2,N,N,N,Y,N,N,,,,,,0,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000019,19920713,,03,폐업,03,폐업,20001123,,,,,,143915,서울특별시 광진구 화양동 115-7번지 ,서울특별시 광진구 능동로19길 42  (화양동),,로얄,2003-05-13 11:34:49,I,2018-08-31 23:59:59.0,,206244.399930782    ,449468.678416088    ,노래연습장업,유통관련업,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000020,19920713,,03,폐업,03,폐업,20150327,,,,463-2341,,,서울특별시 광진구 화양동 21-14번지 지하1층 ,서울특별시 광진구 동일로30길 5  (화양동,지하1층),,브로드웨이,2015-03-27 15:12:36,I,2018-08-31 23:59:59.0,,205903.645088343    ,449506.049065503    ,노래연습장업,유통관련업,,,,,,,,,,5,1,N,N,N,,N,N,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000021,19920713,,03,폐업,03,폐업,20000309,,,,455-0649,,143917,서울특별시 광진구 화양동 47-71번지 ,서울특별시 광진구 아차산로29길 17  (화양동),,허리케인블루노래연습장,2003-08-01 09:51:57,I,2018-08-31 23:59:59.0,,205969.581133832    ,448834.359324561    ,노래연습장업,유통관련업,,,,,,,,,,,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000022,19920713,,03,폐업,03,폐업,20030428,,,,462-8407,,143912,서울특별시 광진구 중곡동 640-3번지 ,서울특별시 광진구 면목로 56  (중곡동),,핫 타임 노래연습장,2003-07-29 17:24:40,I,2018-08-31 23:59:59.0,,206785.136323597    ,450743.302357363    ,노래연습장업,유통관련업,,,,,,,,,,,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000023,19920713,,03,폐업,03,폐업,20030528,,,,2248-6293,,143865,서울특별시 광진구 자양동 608-21번지 ,서울특별시 광진구 자양번영로 34  (자양동),,종점노래방,2003-05-28 17:15:06,I,2018-08-31 23:59:59.0,,206632.334947298    ,447830.956483333    ,노래연습장업,유통관련업,,,,,,,,,,,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000024,19921119,,03,폐업,03,폐업,19990726,,,,499-6800,,143843,서울특별시 광진구 자양동 45-1번지 ,서울특별시 광진구 뚝섬로 493  (자양동),,포시즌,2003-05-13 11:34:49,I,2018-08-31 23:59:59.0,,205692.285666667    ,448228.805333333    ,노래연습장업,유통관련업,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000025,19921119,20080324,04,취소/말소/만료/정지/중지,31,등록취소,,,,,461-0008,,143902,서울특별시 광진구 중곡동 211-22번지 ,서울특별시 광진구 면목로 181  (중곡동),,뉴스타,2006-05-24 15:57:54,I,2018-08-31 23:59:59.0,,207253.319747676    ,451896.483316404    ,노래연습장업,유통관련업,,,,,,,,,,5,1,N,N,N,N,N,N,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000026,19921119,,03,폐업,03,폐업,20050203,,,,446-5510,,143826,서울특별시 광진구 구의동 252-44번지 ,서울특별시 광진구 자양로 112  (구의동),,쎄븐노래방,2005-02-03 09:45:32,I,2018-08-31 23:59:59.0,,207324.953590357    ,448395.067457312    ,노래연습장업,유통관련업,,,,,,,,,,7,2,N,N,N,N,N,N,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000027,1992-11-19,,03,폐업,03,폐업,2023-07-24,,,,2201-9594,,,서울특별시 광진구 중곡동 93-11 지하1층,서울특별시 광진구 천호대로 639 (중곡동,지하1층),,캉캉노래연습장,2023-07-24 13:29:05,U,2022-12-06 22:06:00.0,,207784.18792425,450163.011000103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000028,19921119,,03,폐업,03,폐업,20000901,,,,454-5930,,143867,서울특별시 광진구 자양동 657-5번지 ,서울특별시 광진구 자양로 65  (자양동),,강변,2003-05-13 11:34:49,I,2018-08-31 23:59:59.0,,207386.983040962    ,447934.708019366    ,노래연습장업,유통관련업,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
3040000,CDFF3242051992000029,19921119,,03,폐업,03,폐업,19961231,,,,468-1500,,143914,서울특별시 광진구 화양동 3-37번지 ,서울특별시 광진구 능동로 131  (화양동),,쌍쌍,2003-07-30 11:23:50,I,2018-08-31 23:59:59.0,,206258.465850597    ,448939.528421813    ,노래연습장업,유통관련업,,,,,,,,,,,,N,N,N,N,N,N,,,,,,,,,,,,,,,,,서울시광진구노래연습장업인허가정보.csv
