개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지,,,,정보
3040000,3040000-103-1993-06863,19931030,,01,영업/정상,01,영업,,,,,02 4562433,97.94,143864,서울특별시 광진구 자양동 581-4 ,서울특별시 광진구 자양번영로 31 (자양동),05092,골드,2021-01-18 17:16:34,U,2021-01-20 02:40:00.0,단란주점,206577.287991319    ,447806.088004584    ,단란주점,0,0,주택가주변,기타,상수도전용,,,,,,,,,Y,97.94,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06865,19931122,,03,폐업,02,폐업,20001226,,,,02 4546716,,143826,서울특별시 광진구 구의동 252-109번지 ,,,불야성,2002-07-10 00:00:00,I,2018-08-31 23:59:59.0,단란주점,207330.347362125    ,448491.501666964    ,단란주점,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,113.82,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06871,19931026,,03,폐업,02,폐업,19950403,,,,0206873232,,143903,서울특별시 광진구 중곡동 231-39번지 ,,,로얄,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,단란주점,207030.455593555    ,451370.819547424    ,단란주점,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,68.88,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06877,19931227,,03,폐업,02,폐업,19960708,,,,0204672906,,143915,서울특별시 광진구 화양동 115-7번지 ,,,만남소주방,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,단란주점,206244.399930782    ,449468.678416088    ,단란주점,0,0,유흥업소밀집지역,기타,상수도전용,,,,,,,,,N,102.06,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06886,19931110,,03,폐업,02,폐업,19941102,,,,02 5374199,,143819,서울특별시 광진구 구의동 78-7번지 ,,,하여가,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,단란주점,207848.07465793     ,449668.698815134    ,단란주점,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,104.14,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06888,19931123,,01,영업/정상,01,영업,,,,,0222016806,33.83,143825,서울특별시 광진구 구의동 246-75 ,서울특별시 광진구 아차산로51길 4 (구의동),05044,두루한,2021-07-12 14:48:14,U,2021-07-14 02:40:00.0,단란주점,207482.603715823    ,448345.610065278    ,단란주점,0,0,,,,0,0,0,0,0,,0,0,Y,33.83,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06889,19930910,,03,폐업,02,폐업,20051222,,,,02 4624814,,143916,서울특별시 광진구 화양동 19-38번지 ,,,크리스탈,2003-09-18 00:00:00,I,2018-08-31 23:59:59.0,단란주점,206015.856576215    ,449471.601387885    ,단란주점,0,0,유흥업소밀집지역,기타,상수도전용,,,,,,,,,N,141.48,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06891,19931111,,03,폐업,02,폐업,19941001,,,,0200000000,,143904,서울특별시 광진구 중곡동 244-3번지 ,,,목로단란주점,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,단란주점,206994.423262527    ,451181.829269476    ,단란주점,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,94.75,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06899,19930920,,03,폐업,02,폐업,19960806,,,,02 4686805,,143915,서울특별시 광진구 화양동 116-7번지 ,,,보스단란주점,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,단란주점,206217.622162818    ,449481.227741076    ,단란주점,0,0,유흥업소밀집지역,기타,상수도전용,,,,,,,,,N,59.78,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06902,19931129,,03,폐업,02,폐업,20051118,,,,02 4583446,,143866,서울특별시 광진구 자양동 615-43번지 ,,,자유시인단란주점,2005-03-04 00:00:00,I,2018-08-31 23:59:59.0,단란주점,206847.049592963    ,447818.629951673    ,단란주점,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,61.56,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06903,19931122,,03,폐업,02,폐업,19941006,,,,0204526539,,143865,서울특별시 광진구 자양동 608-19번지 ,,,스타영상가요반주단란,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,단란주점,206641.557042355    ,447859.976973617    ,단란주점,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,100.29,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06905,19930903,,01,영업/정상,01,영업,,,,,02 4468227,108.72,143826,서울특별시 광진구 구의동 252-90 ,서울특별시 광진구 자양로 112 (구의동),05043,제이제이(JJ)노래주점,2021-11-01 15:33:22,U,2021-11-03 02:40:00.0,단란주점,207326.723579146    ,448373.835761715    ,단란주점,0,0,,,,0,0,0,0,0,,0,0,Y,108.72,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06906,19931019,,03,폐업,02,폐업,19980818,,,,02 4447648,,143825,서울특별시 광진구 구의동 246-16번지 ,,,가람단란주점,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,단란주점,207355.378025142    ,448341.892732911    ,단란주점,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,117.16,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06907,19931103,,01,영업/정상,01,영업,,,,,02 4529110,75.60,143866,서울특별시 광진구 자양동 624-30 ,서울특별시 광진구 자양로13길 26, 지층 (자양동),05057,궁전,2021-02-17 17:26:52,U,2021-02-19 02:40:00.0,단란주점,207234.68460488     ,448107.572997321    ,단란주점,0,0,주택가주변,기타,상수도전용,,,,,,,,,Y,75.6,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06908,19931106,,03,폐업,02,폐업,20010426,,,,02 4995270,,143838,서울특별시 광진구 군자동 91-7번지 ,,,오아시스,2002-08-09 00:00:00,I,2018-08-31 23:59:59.0,단란주점,206333.176095179    ,450487.448305731    ,단란주점,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,140.85,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06909,19931110,,03,폐업,02,폐업,19970911,,,,02 4671085,,143916,서울특별시 광진구 화양동 18-32번지 ,,,황제단란주점,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,단란주점,206041.488817405    ,449522.62415745     ,단란주점,0,0,유흥업소밀집지역,기타,상수도전용,,,,,,,,,N,97.74,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06910,19931112,,03,폐업,02,폐업,20020228,,,,02 4535511,,143890,서울특별시 광진구 중곡동 125-1번지 ,,,청록단란주점,2002-04-12 00:00:00,I,2018-08-31 23:59:59.0,단란주점,207610.954661904    ,450813.11786659     ,단란주점,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,122.22,,,,,,,서울시광진구단란주점영업인허가정보.csv
3040000,3040000-103-1993-06911,19931122,,03,폐업,02,폐업,19971104,,,,02 4670067,,143904,서울특별시 광진구 중곡동 245-1번지 ,,,비지니스킹카단란주점,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,단란주점,206952.834606486    ,451192.786326089    ,단란주점,0,0,주택가주변,기타,상수도전용,,,,,,,,,N,87.3,,,,,,,서울시광진구단란주점영업인허가정보.csv
