개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,한실수,양실수,욕실수,발한실여부,좌석수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,세탁기수,여성종사자수,남성종사자수,회수건조수,침대수,다중이용업소여부,,,,,,,,,정보
3040000,3040000-204-1969-00649,19691218,,03,폐업,02,폐업,20030819,,,,02   0,11.88,143825,서울특별시 광진구 구의동 242-0번지 ,,,정미용실,2003-03-07 00:00:00,I,2018-08-31 23:59:59.0,일반미용업,,,미용업,,,,,,,,,,N,2,,,,,,,,,,N,,,,,,,,,서울시광진구미용업인허가정보.csv
3040000,3040000-204-1971-00443,19710904,,03,폐업,02,폐업,19980225,,,,02 4656591,15.90,143914,서울특별시 광진구 화양동 9-49번지 ,,,치치미용실,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,일반미용업,,,미용업,0,0,0,,0,,0,0,0,N,3,,,,,,,,,,N,,,,,,,,,서울시광진구미용업인허가정보.csv
3040000,3040000-204-1971-00818,19710904,,03,폐업,02,폐업,19940820,,,,02   00000,15.90,143914,서울특별시 광진구 화양동 2-82번지 ,,,치치,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,일반미용업,,,미용업,0,0,0,,0,,0,0,0,N,3,,,,,,,,,,N,,,,,,,,,서울시광진구미용업인허가정보.csv
3040000,3040000-204-1971-01001,19710209,,03,폐업,02,폐업,19960325,,,,02 4661405,12.20,143843,서울특별시 광진구 자양동 49-117번지 ,,,마샬,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,일반미용업,,,미용업,0,0,0,,0,,0,0,0,N,2,,,,,,,,,,N,,,,,,,,,서울시광진구미용업인허가정보.csv
3040000,3040000-204-1972-01303,19720722,,03,폐업,02,폐업,20030226,,,,0200000000,15.29,143862,서울특별시 광진구 자양동 553-69번지 ,,,연화,2003-03-05 00:00:00,I,2018-08-31 23:59:59.0,일반미용업,205829.388020606    ,448134.099067718    ,미용업,,,,,,,,,,N,2,,,,,,,,,,N,,,,,,,,,서울시광진구미용업인허가정보.csv
3040000,3040000-204-1973-00368,19731018,,03,폐업,02,폐업,20030811,,,,02 4667906,15.92,143904,서울특별시 광진구 중곡동 246-25번지 ,,,대왕미용실,2002-07-09 00:00:00,I,2018-08-31 23:59:59.0,일반미용업,206848.378640684    ,451193.08886312     ,미용업,0,0,0,,0,,0,0,0,N,3,,,,,,,,,,N,,,,,,,,,서울시광진구미용업인허가정보.csv
3040000,3040000-204-1973-00442,19731204,,03,폐업,02,폐업,20130304,,,,02 4675716,40.00,143914,서울특별시 광진구 화양동 3-1번지 ,서울특별시 광진구 아차산로33길 90 (화양동),05011,간지헤어,2011-07-22 11:33:55,I,2018-08-31 23:59:59.0,일반미용업,206270.060419582    ,449094.729917336    ,미용업,3,,,1,,,,,,N,7,,,,,,,,,,N,,,,,,,,,서울시광진구미용업인허가정보.csv
3040000,3040000-204-1973-00446,19730623,,03,폐업,02,폐업,20000524,,,,02 4622380,18.25,143916,서울특별시 광진구 화양동 18-25번지 ,,,은행미용실,2000-05-24 00:00:00,I,2018-08-31 23:59:59.0,일반미용업,206120.307281671    ,449481.671391655    ,미용업,0,0,0,,0,,0,0,0,N,2,,,,,,,,,,N,,,,,,,,,서울시광진구미용업인허가정보.csv
3040000,3040000-204-1973-00458,19730719,,03,폐업,02,폐업,19960709,,,,02 4649346,18.49,143917,서울특별시 광진구 화양동 44-77번지 ,,,우리미용실,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,일반미용업,205801.648625907    ,449042.920776733    ,미용업,0,0,0,,0,,0,0,0,N,3,,,,,,,,,,N,,,,,,,,,서울시광진구미용업인허가정보.csv
3040000,3040000-204-1973-00542,19731129,,03,폐업,02,폐업,19980307,,,,02 4520731,14.80,143890,서울특별시 광진구 중곡동 124-64번지 ,,,백조미용실,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,일반미용업,207650.957331463    ,450614.002896984    ,미용업,0,0,0,,0,,0,0,0,N,2,,,,,,,,,,N,,,,,,,,,서울시광진구미용업인허가정보.csv
3040000,3040000-204-1973-00616,19731114,,03,폐업,02,폐업,20030811,,,,02 4529470,12.51,143912,서울특별시 광진구 중곡동 634-2번지 ,,,공원미용실,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,일반미용업,206568.470339056    ,450869.90240046     ,미용업,0,0,0,,0,,0,0,0,N,2,,,,,,,,,,N,,,,,,,,,서울시광진구미용업인허가정보.csv
3040000,3040000-204-1973-00648,19730511,,01,영업/정상,01,영업,,,,,02 4533990,20.00,143821,서울특별시 광진구 구의동 204-18 ,서울특별시 광진구 아차산로65길 68 (구의동),05033,신세계미용실,2020-11-27 17:16:23,U,2020-11-29 02:40:00.0,일반미용업,208041.244607593    ,448931.674958353    ,미용업,3,,,1,,,,,,N,3,,,,,,,,,,N,,,,,,,,,서울시광진구미용업인허가정보.csv
3040000,3040000-204-1973-00684,19730119,,03,폐업,02,폐업,20030226,,,,02 4467495,16.80,143806,서울특별시 광진구 광장동 301-3번지 ,,,서울미용실,2003-02-28 00:00:00,I,2018-08-31 23:59:59.0,일반미용업,,,미용업,,,,,,,,,,N,2,,,,,,,,,,N,,,,,,,,,서울시광진구미용업인허가정보.csv
