개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,건물지상층수,건물지하층수,사용시작지상층,사용끝지상층,사용시작지하층,사용끝지하층,한실수,양실수,욕실수,발한실여부,좌석수,조건부허가신고사유,조건부허가시작일자,조건부허가종료일자,건물소유구분명,세탁기수,여성종사자수,남성종사자수,회수건조수,침대수,다중이용업소여부,,,,,정보
3040000,3040000-205-1987-01502,19870824,,03,폐업,02,폐업,20181203,,,,02 4662468,23.40,143840,서울특별시 광진구 군자동 371-4번지 ,서울특별시 광진구 광나루로17길 14-5 (군자동),05005,수도사,2018-12-03 11:39:03,U,2018-12-05 02:40:00.0,일반세탁업,206360.50393518     ,449574.218837483    ,일반세탁업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N,,,,,서울시광진구세탁업인허가정보.csv
3040000,3040000-205-1987-01512,19870630,,03,폐업,02,폐업,20071112,,,,02 4448620,14.40,143806,서울특별시 광진구 광장동 272-4번지 ,,,백영사,2003-03-10 00:00:00,I,2018-08-31 23:59:59.0,일반세탁업,209237.010976216    ,449506.881867274    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N,,,,,서울시광진구세탁업인허가정보.csv
3040000,3040000-205-1987-01514,19870630,,03,폐업,02,폐업,20020527,,,,02 4448250,20.40,143835,서울특별시 광진구 구의동 636-5번지 ,,,대성사,2002-07-15 00:00:00,I,2018-08-31 23:59:59.0,일반세탁업,207287.67444367     ,449019.590975686    ,일반세탁업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N,,,,,서울시광진구세탁업인허가정보.csv
3040000,3040000-205-1987-01515,19870715,,03,폐업,02,폐업,20060516,,,,02 4460680,11.70,143817,서울특별시 광진구 구의동 33-12번지 ,,,명문사,2002-04-15 00:00:00,I,2018-08-31 23:59:59.0,일반세탁업,208296.153607317    ,450005.759785381    ,일반세탁업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N,,,,,서울시광진구세탁업인허가정보.csv
3040000,3040000-205-1987-01516,19871012,,03,폐업,02,폐업,20020527,,,,02 4476143,11.00,143816,서울특별시 광진구 구의동 30-15번지 ,,,보들세탁,2002-07-15 00:00:00,I,2018-08-31 23:59:59.0,일반세탁업,208158.784703517    ,450097.085495605    ,일반세탁업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N,,,,,서울시광진구세탁업인허가정보.csv
3040000,3040000-205-1987-01523,19871012,,03,폐업,02,폐업,20130701,,,,02 4523642,20.35,143960,서울특별시 광진구 구의동 226-45번지 ,서울특별시 광진구 자양로32길 84 (구의동),,삼양사,2003-03-05 00:00:00,I,2018-08-31 23:59:59.0,일반세탁업,207864.339945974    ,449076.704774083    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N,,,,,서울시광진구세탁업인허가정보.csv
3040000,3040000-205-1987-01524,19870630,,03,폐업,02,폐업,20020527,,,,02 4454188,17.90,143824,서울특별시 광진구 구의동 235-1번지 ,,,성모사,2002-07-15 00:00:00,I,2018-08-31 23:59:59.0,일반세탁업,207575.201559435    ,449108.377935578    ,일반세탁업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N,,,,,서울시광진구세탁업인허가정보.csv
3040000,3040000-205-1987-01526,19870630,,01,영업/정상,01,영업,,,,,02 4460027,20.00,143962,서울특별시 광진구 구의동 231-9,서울특별시 광진구 광나루로40길 34, 1층 (구의동),05032,대영사,2022-12-27 15:26:55,U,2021-11-01 22:09:00.0,일반세탁업,207808.781349065,449012.4335548,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구세탁업인허가정보.csv
3040000,3040000-205-1987-01527,19870630,,03,폐업,02,폐업,20120604,,,,02 4529265,21.00,143962,서울특별시 광진구 구의동 229-5번지 ,서울특별시 광진구 구의로 67 (구의동),05032,백조사,2003-03-10 00:00:00,I,2018-08-31 23:59:59.0,일반세탁업,207914.999129051    ,449093.469786962    ,일반세탁업,,,,,,,,,,N,,,,,,,,,,,N,,,,,서울시광진구세탁업인허가정보.csv
3040000,3040000-205-1987-01528,19870630,,03,폐업,02,폐업,20020527,,,,02 4525890,18.52,143824,서울특별시 광진구 구의동 240-1번지 ,,,명성사,2002-07-15 00:00:00,I,2018-08-31 23:59:59.0,일반세탁업,207771.012933553    ,448808.283726171    ,일반세탁업,0,0,0,,0,,0,0,0,N,0,,,,,,,,,,N,,,,,서울시광진구세탁업인허가정보.csv
