개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),약국영업면적,지정일자,,,,,,,정보
3040000,PHMD119693040033084000001,19690614,20121121,03,폐업,03,폐업,20120529,,,,457-4110,,143890,서울시 광진구 중곡2동 124-8,,,해동온누리약국,2012-11-21 10:28:48,I,2018-08-31 23:59:59.0,,,,,19690614,,,,,,,서울시광진구약국인허가정보.csv
3040000,PHMD119703040033084000001,19700602,20130102,03,폐업,03,폐업,20130102,,,,467-5452,,143817,서울특별시 광진구 구의2동 55번지 22호   103호,서울특별시 광진구 자양로 281, 103호 (구의동),,탑메디칼약국,2013-01-02 16:11:54,I,2018-08-31 23:59:59.0,,208013.281240358    ,449873.038603781    ,33.99,19700602,,,,,,서울시광진구약국인허가정보.csv
3040000,PHMD119703040033084000002,19701031,20131112,03,폐업,03,폐업,20131112,,,,461-1155,,143845,서울특별시 광진구 자양4동 81번지,서울특별시 광진구 능동로3길 54 (자양동),143845,정동약국,2013-11-12 14:06:06,I,2018-08-31 23:59:59.0,,205632.848121685    ,448001.499595417    ,30.66,19701031,,,,,,,서울시광진구약국인허가정보.csv
3040000,PHMD119713040033084000001,19711115,,03,폐업,03,폐업,20210831,,,,446-3056,,143816,서울특별시 광진구 구의동 30번지 13호,서울특별시 광진구 자양로 311-1 (구의동),04955,성안약국,2021-09-08 18:23:18,I,2021-09-10 00:22:49.0,,208170.691849924    ,450113.925782953    ,0,19711115,,,,,,,서울시광진구약국인허가정보.csv
3040000,PHMD119723040033084000001,19720412,20160607,03,폐업,03,폐업,20160607,,,,457-5680,,143889,서울특별시 광진구 중곡동 115번지 9호,서울특별시 광진구 천호대로 655 (중곡동),04953,공원약국,2016-06-07 15:05:30,I,2018-08-31 23:59:59.0,,207859.45812424     ,450042.160296352    ,33.11,19720412,,,,,,,서울시광진구약국인허가정보.csv
3040000,PHMD119743040033084000001,19740704,,01,영업/정상,13,영업중,,,,,447-9621,,,서울특별시 광진구 구의동 80-46 항석빌딩,서울특별시 광진구 자양로 201, 항석빌딩 1층 (구의동),04991,용마약국,2021-06-21 13:39:04,U,2021-06-23 02:40:00.0,,207478.69627375     ,449255.026051538    ,29.8,19740704,,,,,,서울시광진구약국인허가정보.csv
3040000,PHMD119743040033084000003,19741007,20121203,03,폐업,03,폐업,20121203,,,,467-7287,,143840,서울시 광진구 군자동 363-1,,,신백구약국,2012-12-03 10:01:43,I,2018-08-31 23:59:59.0,,,,0,19741007,,,,,,,서울시광진구약국인허가정보.csv
3040000,PHMD119763040033084000001,19760607,,01,영업/정상,13,영업중,,,,,467-1088,,,서울특별시 광진구 중곡동 230번지 1호,서울특별시 광진구 긴고랑로9길 29 (중곡동),04910,조광옵티마약국,2015-12-17 13:38:02,I,2018-08-31 23:59:59.0,,207117.721453706    ,451395.72898843     ,33.3,19760607,,,,,,,서울시광진구약국인허가정보.csv
3040000,PHMD119763040033084000002,19761002,20140515,03,폐업,03,폐업,20140515,,,,446-0280,,143918,서울특별시 광진구 구의동 244번지 50호,서울특별시 광진구 아차산로 419 (구의동),143918,신대남약국,2014-05-15 15:59:23,I,2018-08-31 23:59:59.0,,207822.300539021    ,448443.28377615     ,22.94,19761002,,,,,,,서울시광진구약국인허가정보.csv
3040000,PHMD119763040033084000004,19761102,20140930,03,폐업,03,폐업,20140930,,,,457-9140,,143913,서울특별시 광진구 중곡동 18번지 1호,서울특별시 광진구 용마산로 160 (중곡동),143913,용약국,2014-09-30 15:44:08,I,2018-08-31 23:59:59.0,,207562.672581379    ,451732.547183575    ,0,19761102,,,,,,,서울시광진구약국인허가정보.csv
