개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모,,,정보
3040000,CDFI2262212023000001,2023-01-26,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 자양동 811 광진하나플러스,서울특별시 광진구 뚝섬로46길 74, 405호 (자양동, 광진하나플러스),05110,Love House,2023-08-14 13:55:39,U,2022-12-07 23:07:00.0,,206624.071362337,447480.851299914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212023000006,2023-07-13,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 화양동 11-26,서울특별시 광진구 아차산로31길 42-1, 202호 (화양동),05016,연화하우스,2023-08-14 14:00:00,U,2022-12-07 23:07:00.0,,206152.012294337,448943.386580912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212023000003,2023-03-22,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 능동 385-2,서울특별시 광진구 능동로24길 60-10, 1층 (능동),04990,포레스트,2023-08-14 13:57:00,U,2022-12-07 23:07:00.0,,206991.096169689,450013.872261677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212023000002,2023-02-02,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 구의동 241-65,서울특별시 광진구 구의로3길 19 (구의동),05041,라온 게스트하우스,2023-08-14 13:56:24,U,2022-12-07 23:07:00.0,,207657.316738477,448670.819224898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212023000007,2023-09-25,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 화양동 44-38,서울특별시 광진구 아차산로21길 30, 202호 (화양동),05020,오프워크스테이,2023-11-01 19:39:03,U,2022-11-01 00:03:00.0,,205726.193252331,448992.647147341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212023000009,2023-10-05,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 자양동 58-9,서울특별시 광진구 능동로3라길 6-3, 201호 (자양동),05084,제이와이 게스트하우스,2023-11-01 19:39:38,U,2022-11-01 00:03:00.0,,205708.138856743,448005.6493639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212023000008,2023-10-05,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 화양동 36-80,서울특별시 광진구 아차산로25길 57-1, 102호 (화양동),05015,오프워크센터,2023-11-01 19:39:57,U,2022-11-01 00:03:00.0,,205897.193225118,449075.601760681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212023000010,2023-10-12,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 구의동 239-66,서울특별시 광진구 자양로30길 64-13, 102호 (구의동),05037,웜플레이스,2023-11-01 19:40:25,U,2022-11-01 00:03:00.0,,207730.501383374,448923.491579227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212023000011,2023-10-16,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 구의동 656 구의동새한아파트,서울특별시 광진구 자양로26길 71, 101동 102호 (구의동, 구의동새한아파트),05041,새한아파트 홈스테이,2023-11-01 19:40:54,U,2022-11-01 00:03:00.0,,207716.883179486,448756.052153309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212019000001,20190121,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 구의동 45-19번지 솔라빌리지,서울특별시 광진구 자양로44나길 17, 지층 (구의동, 솔라빌리지),4960,아늑공간,2019-02-28,U,2019-03-02 02:40:00.0,,208294.4188,449807.5208,외국인관광 도시민박업,,,,,,,다세대주택,,1,2,,,Urban Home Visit System for Foreign Tourist,,,,,,,,83.14,,,,,,,,,,,,,83,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212019000002,20190228,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 자양동 227-292번지,서울특별시 광진구 자양번영로7길 16-7 (자양동),5066,자양토박이네(Jayang Tobak's House),2019-02-28,I,2019-03-02 02:21:00.0,,206595.9025,448211.883,외국인관광 도시민박업,,,3,,,,단독주택,2,1,1,,Jayang Tobak’s House,Urban Home Visit System for Foreign Tourist,,,,,,,,85.41,,,,,,,,,,,,,85,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212022000001,20220421,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 구의동 45-19 솔라빌리지,서울특별시 광진구 자양로44나길 17, 4층 401호 (구의동, 솔라빌리지),4960,아늑공간Ⅲ,2022-04-22,I,2022-04-24 00:22:00.0,,208294.4188,449807.5208,외국인관광 도시민박업,,일반주거지역,4,,,,다세대주택,4,1,3,560,,,0,0,,0,0,,0,56,,0,,,,,,,0,,,,56,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212023000005,2023-06-28,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 자양동 52-24,서울특별시 광진구 뚝섬로30가길 22, 2층 (자양동),05084,한강에어비엔비,2023-08-14 13:59:03,U,2022-12-07 23:07:00.0,,205685.275619297,448086.943780003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212023000004,2023-06-14,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 화양동 44-38,서울특별시 광진구 아차산로21길 30, 201호 (화양동),05020,서호빌리지,2023-08-14 13:57:54,U,2022-12-07 23:07:00.0,,205726.193252331,448992.647147341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212019000004,20190826,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 화양동 33-49번지,서울특별시 광진구 동일로26길 33, 102호 (화양동),5015,파랑새 하우스(Bluebird house),2020-02-04,U,2020-02-06 02:40:00.0,,205920.3005,449202.808,외국인관광 도시민박업,,,,,,,단독주택,2,1,1,,,,,,,,,,,77.76,,,,,,,,,,,,,78,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212019000003,20190730,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 자양동 10-44번지 트윈빌,서울특별시 광진구 아차산로26길 17-6, 202호 (자양동, 트윈빌),5072,Konkuk univ cozy house,2020-02-04,U,2020-02-06 02:40:00.0,,205787.8938,448673.1542,외국인관광 도시민박업,,일반주거지역,5,,,,다세대주택,5,,1,,,,,,,,,,,51.23,,,,,,,,,20000000,,,,51,서울시광진구외국인관광도시민박업인허가정보.csv
