개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),의료기관종별명,의료인수,입원실수,병상수,총면적,진료과목내용,진료과목내용명,지정취소일자,완화의료지정형태,완화의료담당부서명,구급차특수,구급차일반,총인원,구조사수,허가병상수,최초지정일자,,,,,,,,,,,,,,,,,,,,,,정보
3040000,PHMA119693040033041100001,1969-06-11,,01,영업/정상,13,영업중,,,,,02-466-2339,,143-867,서울특별시 광진구 자양동 627-21(1층),서울특별시 광진구 자양로 81, 1층 (자양동),05056,동제한의원,2023-08-18 10:51:36,U,2022-12-07 22:00:00.0,한의원,207341.768147956,448093.474633392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119703040033041100001,19700825,,03,폐업,03,폐업,20160311,,,,02-463-0964,,143842,서울특별시 광진구 자양4동 250번지 21호,서울특별시 광진구 동일로 74 (자양동),,광제의원,2016-03-11 13:32:13,I,2018-08-31 23:59:59.0,의원,205467.46954695,448559.329667442,의원,1,0,0,0,111 101 104,내과, 외과, 소아청소년과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119733040033041100001,19730404,,03,폐업,03,폐업,20201013,,,,02-466-9910,,143840,서울특별시 광진구 군자동 356번지 6호 3층,서울특별시 광진구 광나루로 351, 3층 (군자동),05003,서이비인후과의원,2020-10-13 17:14:39,U,2020-12-03 02:40:00.0,의원,206025.355190837,449576.340648161,의원,1,0,0,0,113,이비인후과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119733040033041100002,19730627,,01,영업/정상,13,영업중,,,,,02-468-2875,,143840,서울특별시 광진구 군자동 361번지 28호 3층,서울특별시 광진구 광나루로 375-1, 3층 (군자동),05005,정태련치과의원,2017-09-05 18:39:01,I,2018-08-31 23:59:59.0,치과의원,206270.522449212,449548.404426975,치과의원,1,0,0,113.1,401,치과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119733040033041100003,19731031,,03,폐업,03,폐업,20141001,,,,02-446-1172,,143824,서울특별시 광진구 구의1동 235번지 36호,서울특별시 광진구 자양로 186-1 (구의동),,동서울신경정신과의원,2014-10-01 17:47:48,I,2018-08-31 23:59:59.0,의원,207459.056738787,449102.948902951,의원,2,0,0,0,103 102,신경과, 정신건강의학과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119733040033041100004,19731220,,01,영업/정상,13,영업중,,,,,02-446-5080,,143817,서울특별시 광진구 구의2동 53번지 4호 3층,서울특별시 광진구 천호대로 665 (구의동,3층),,서울더편한치과의원,2022-06-03 01:15:22,U,2021-12-06 00:07:00.0,치과의원,207907.884299176,449938.014730815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119743040033041100001,19740521,,03,폐업,03,폐업,20200531,,,,02-467-2748,,143904,서울특별시 광진구 중곡동 242번지 1호 2층,서울특별시 광진구 긴고랑로 42-1, 2층 (중곡동),04914,보생한의원,2020-06-01 17:06:35,U,2020-06-04 02:40:00.0,한의원,207089.386862033,451144.540129966,한의원,1,0,0,0,301,한방내과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119743040033041100002,19740523,,01,영업/정상,13,영업중,,,,,02-467-5158,,143903,서울특별시 광진구 중곡동 231번지 8호 2층,서울특별시 광진구 면목로 113-1, 2층 (중곡동),04911,남경치과의원,2017-09-05 18:39:01,I,2018-08-31 23:59:59.0,치과의원,206996.314389687,451295.860658526,치과의원,1,0,0,0,401,치과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119743040033041100003,19740806,,03,폐업,03,폐업,20001004,,,,,,143890,서울특별시 광진구 중곡2동 117번지 9호,서울특별시 광진구 용마산로 15 (중곡동),,고려소아과의원,2009-07-20 10:51:48,I,2018-08-31 23:59:59.0,의원,207711.685629042,450319.622769501,의원,1,0,0,0,111,소아청소년과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119753040033041100001,1975-09-02,,01,영업/정상,13,영업중,,,,,02-444-6969,,,서울특별시 광진구 중곡동 115-4,서울특별시 광진구 천호대로 647, 2층 (중곡동),04953,서울연세임정규우상치과의원,2023-09-27 09:20:26,U,2022-12-08 22:09:00.0,치과의원,207824.309885177,450114.867821901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119763040033041100001,19760417,,03,폐업,03,폐업,20110512,,,,02-446-7310,,143220,서울특별시 광진구 중곡동 125번지 8호,서울특별시 광진구 용마산로 61 (중곡동),,박만수치과의원,2011-05-12 17:31:25,I,2018-08-31 23:59:59.0,치과의원,207660.236611285,450759.001378184,치과의원,1,0,0,0,401,치과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119763040033041100002,19760429,,03,폐업,03,폐업,20190822,,,,02-464-9512,,143840,서울특별시 광진구 군자동 503번지 두산위브파크 2층,서울특별시 광진구 광나루로 369, 2층 (군자동, 두산위브파크),05005,동부플란트치과의원,2019-09-17 11:17:24,U,2019-09-19 02:40:00.0,치과의원,206212.244268239,449577.174890763,치과의원,2,0,0,127,401 201 204 207 210 202 205 208 209 206 203,구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 구강악안면방사선과, 구강병리과, 예방치과, 치과,,,,0,0,,,0,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119763040033041100003,19760729,,03,폐업,03,폐업,20160401,,,,02-466-4421,,143901,서울특별시 광진구 중곡동 192번지 1호,서울특별시 광진구 면목로 147 (중곡동),04907,하산부인과의원,2016-04-01 09:54:03,I,2018-08-31 23:59:59.0,의원,207122.377543668,451588.116315616,의원,1,0,0,0,110,산부인과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119773040033041100001,19770305,,01,영업/정상,13,영업중,,,,,02-444-1734,,143822,서울특별시 광진구 구의동 220번지 218호,서울특별시 광진구 구의로 10-1 (구의동),05045,성모의원,2017-09-05 18:39:01,I,2018-08-31 23:59:59.0,의원,207837.750606919,448526.827417341,의원,2,0,0,34.67,101 111,내과, 소아청소년과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119773040033041100002,19770802,,03,폐업,03,폐업,20190630,,,,02-464-6060,,143841,서울특별시 광진구 자양4동 4번지 9호 2층,서울특별시 광진구 동일로18길 78 (자양동,2층),,홍종윤치과의원,2019-06-28 10:50:00,U,2019-07-02 02:40:00.0,치과의원,205845.235477102,448487.468509742,치과의원,1,0,0,0,401,치과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119773040033041100003,19771207,,03,폐업,03,폐업,20190309,,,,02-466-5353,,143840,서울특별시 광진구 군자동 356번지 6호 3,서울특별시 광진구 광나루로 351, 3층 (군자동),05003,오비뇨기과의원,2019-09-05 11:46:52,U,2019-09-07 02:40:00.0,의원,206025.355190837,449576.340648161,의원,1,0,0,0,115,비뇨의학과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119783040033041100001,19780113,,03,폐업,03,폐업,20111116,,,,02-444-4073,,143220,서울특별식 광진구 중곡4동 79-2,,,경희한의원,2011-11-16 13:41:51,I,2018-08-31 23:59:59.0,한의원,,,한의원,1,0,0,0,301,한방내과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119783040033041100002,19780316,,01,영업/정상,13,영업중,,,,,458-1075,,,서울특별시 광진구 자양동 769번지 7호 K&S빌딩,서울특별시 광진구 자양로 131, K&S빌딩 5~6층 6층 일부호 (자양동),05026,석성화한의원,2019-12-11 09:12:54,U,2019-12-13 02:40:00.0,한의원,207252.097980647,448588.146822062,한의원,2,0,0,383.49,301 302 303 304 305 307 308,한방내과, 한방부인과, 한방소아과, 한방안·이비인후·피부과, 한방신경정신과, 사상체질과, 침구과,,,,0,0,,,0,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119783040033041100003,19780504,,03,폐업,03,폐업,20190501,,,,02-444-7877,,143825,구의동 246번지 17호,서울특별시 광진구 자양로 104 (구의동),05044,이성수의원,2019-04-29 10:21:05,U,2019-05-01 02:40:00.0,의원,207336.745195933,448312.196125989,의원,1,0,0,119.85,111 101 113 114 115 122 108,내과, 성형외과, 소아청소년과, 이비인후과, 피부과, 비뇨의학과, 가정의학과,,,,0,0,,,0,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119783040033041100004,19780531,,03,폐업,03,폐업,20170414,,,,02-446-0335,,143889,서울특별시 광진구 중곡동 115번지 9호 3층,서울특별시 광진구 천호대로 655, 3층 (중곡동),04953,동민치과의원,2017-04-27 15:12:31,I,2018-08-31 23:59:59.0,치과의원,207859.45812424,450042.160296352,치과의원,1,0,0,0,401,치과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119793040033041100001,19790222,,01,영업/정상,13,영업중,,,,,02-456-7557,,,,서울특별시 광진구 자양로13길 10, 1층 (자양동),05056,자양한의원,2019-04-25 09:58:18,U,2019-04-27 02:40:00.0,한의원,207275.406267067,448156.546916195,한의원,1,0,0,0,301,한방내과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119793040033041100002,19790926,,01,영업/정상,13,영업중,,,,,02-457-2114,,143962,서울특별시 광진구 구의동 230번지 1호,서울특별시 광진구 광나루로 538 (구의동),05032,김요한의원,2017-09-05 18:39:01,I,2018-08-31 23:59:59.0,의원,207815.953840302,449152.165246611,의원,0,2,4,0,111 101 122 120,내과, 소아청소년과, 재활의학과, 가정의학과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119793040033041100003,19791205,,01,영업/정상,13,영업중,,,,,02-464-0860,,,서울특별시 광진구 능동 279번지 3호 3층,서울특별시 광진구 능동로 296, 3층 (능동),04985,서울선치과의원,2017-09-05 18:39:01,I,2018-08-31 23:59:59.0,치과의원,206930.096793526,450421.476067528,치과의원,1,0,0,78.69,401 201 204 207 210 202 205 208 203 206 209,구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 구강악안면방사선과, 구강병리과, 예방치과, 치과,,,,0,0,,,0,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119803040033041100001,19800412,,01,영업/정상,13,영업중,,,,,02-457-9912,,143888,서울특별시 광진구 중곡동 93번지 4호 2층,서울특별시 광진구 용마산로 4, 2층 (중곡동),04953,이웅석치과의원,2017-09-05 18:39:01,I,2018-08-31 23:59:59.0,치과의원,207775.393626251,450200.655283827,치과의원,1,0,0,133.51,401,치과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119803040033041100002,19800913,,01,영업/정상,13,영업중,,,,,02-464-4980,,143916,서울특별시 광진구 화양동 18번지 6호,서울특별시 광진구 광나루로 360 (화양동),05008,김석희내과의원,2019-01-11 00:43:13,U,2019-01-13 02:40:00.0,의원,206104.458116136,449512.315011462,의원,1,0,0,0,101,내과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
3040000,PHMA119803040033041100003,19801115,,01,영업/정상,13,영업중,,,,,02-452-9968,,143874,서울특별시 광진구 자양동 680번지 24호 태림빌딩 203호,서울특별시 광진구 자양로 58, 203호 (자양동, 태림빌딩),05052,장상욱치과의원,2017-09-05 18:39:01,I,2018-08-31 23:59:59.0,치과의원,207477.049467574,447884.445448519,치과의원,1,0,0,69.72,401,치과,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,서울시광진구의원인허가정보.csv
