개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지,,,,,정보
3040000,3040000-121-1978-07224,19781018,,03,폐업,02,폐업,20201223,,,,02 4504425,271.60,143800,서울특별시 광진구 광장동 21 ,서울특별시 광진구 워커힐로 177 (광장동),04963,워커힐델리,2020-12-23 15:45:29,U,2020-12-25 02:40:00.0,제과점영업,209766.973555533    ,450385.000713887    ,제과점영업,0,0,기타,기타,상수도전용,,,,,,,,,N,271.6,,,,,,,,서울시광진구제과점영업인허가정보.csv
3040000,3040000-121-1978-07225,19780526,,03,폐업,02,폐업,20090612,,,,02 4448484,,143824,서울특별시 광진구 구의동 236-25번지 ,,,아미띠에베이커리,2004-09-01 00:00:00,I,2018-08-31 23:59:59.0,제과점영업,207412.919254462    ,448968.677713251    ,제과점영업,0,0,주택가주변,갑,상수도전용,,,,,,,,,N,47.72,,,,,,,,서울시광진구제과점영업인허가정보.csv
3040000,3040000-121-1978-07226,19781006,,03,폐업,02,폐업,20221004,,,,02 4445911,74.50,143848,서울특별시 광진구 능동 236-1,서울특별시 광진구 천호대로 576 (능동),04986,백합베이커리,2022-10-04 12:01:13,U,2021-10-31 00:06:00.0,제과점영업,207160.189487314,450403.116877344,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구제과점영업인허가정보.csv
3040000,3040000-121-1982-00001,19821103,,01,영업/정상,01,영업,,,,,02 4670762,,143901,서울특별시 광진구 중곡동 193-52번지 ,서울특별시 광진구 면목로 132-1 (중곡동),04908,상떼,2016-10-18 11:48:06,I,2018-08-31 23:59:59.0,제과점영업,207087.8448735      ,451428.393141132    ,제과점영업,0,,주택가주변,갑,상수도전용,,,,,,,,,N,19.2,,,,,,,,서울시광진구제과점영업인허가정보.csv
3040000,3040000-121-1982-00002,19820707,,03,폐업,02,폐업,20110126,,,,02 4575349,,143865,서울특별시 광진구 자양동 606-9번지 ,,,아도레과자점,2011-01-03 11:31:10,I,2018-08-31 23:59:59.0,제과점영업,206947.646752977    ,447745.557839831    ,제과점영업,,,주택가주변,을,상수도전용,,,,,,,,,N,19.76,,,,,,,,서울시광진구제과점영업인허가정보.csv
3040000,3040000-121-1983-00001,19830304,,03,폐업,02,폐업,20090421,,,,02 4445458,,143890,서울특별시 광진구 중곡동 116-6번지 ,,,프랑세즈과자점,2006-10-20 00:00:00,I,2018-08-31 23:59:59.0,제과점영업,207731.485258408    ,450196.465106233    ,제과점영업,0,0,주택가주변,갑,상수도전용,,,,,,,,,N,9,,,,,,,,서울시광진구제과점영업인허가정보.csv
3040000,3040000-121-1984-00001,19840827,,03,폐업,02,폐업,20061011,,,,02 4663550,,143840,서울특별시 광진구 군자동 355-10번지 ,,,프랑스제과,2002-10-25 00:00:00,I,2018-08-31 23:59:59.0,제과점영업,205932.977481779    ,449586.519434337    ,제과점영업,,,주택가주변,을,상수도전용,,,,,,,,,N,37.53,,,,,,,,서울시광진구제과점영업인허가정보.csv
3040000,3040000-121-1984-00002,19841013,,03,폐업,02,폐업,20100331,,,,02 4972876,,143902,서울특별시 광진구 중곡동 199-1번지 ,,,케익하우스몽마(Cake House 몽마),2007-06-14 00:00:00,I,2018-08-31 23:59:59.0,제과점영업,207302.075496997    ,451991.900378929    ,제과점영업,0,,주택가주변,을,상수도전용,,,,,,,,,N,18.88,,,,,,,,서울시광진구제과점영업인허가정보.csv
3040000,3040000-121-1985-00001,19850307,,03,폐업,02,폐업,20110622,,,,02 4670751,,143838,서울특별시 광진구 군자동 184번지 ,,,세비앙과자점,2002-10-25 00:00:00,I,2018-08-31 23:59:59.0,제과점영업,206309.59075872     ,450430.884671398    ,제과점영업,0,0,주택가주변,을,상수도전용,,,,,,,,,N,24.12,,,,,,,,서울시광진구제과점영업인허가정보.csv
3040000,3040000-121-1985-00002,19850406,,03,폐업,02,폐업,20151228,,,,02 4465305,,143885,서울특별시 광진구 중곡동 47-14번지 ,서울특별시 광진구 능동로 338-1 (중곡동),04927,오페라과자점,2002-10-25 00:00:00,I,2018-08-31 23:59:59.0,제과점영업,207101.894341668    ,450825.16485544     ,제과점영업,,,주택가주변,기타,상수도전용,,,,,,,,,N,61.1,,,,,,,,서울시광진구제과점영업인허가정보.csv
