개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지,,,,정보
3040000,3040000-122-2008-00001,20080317,,03,폐업,02,폐업,20191011,,,,02 4684936,49.50,143846,서울특별시 광진구 자양동 192-24 ,서울특별시 광진구 뚝섬로22길 73 (자양동),05088,강남유통,2019-10-11 16:08:43,U,2019-10-13 02:40:00.0,집단급식소 식품판매업,205367.268135886    ,448000.951265075    ,집단급식소 식품판매업,,,,,,,0,0,0,0,,,,N,0,,,,,,,서울시광진구집단급식소식품판매업인허가정보.csv
3040000,3040000-122-2008-00002,20080320,,01,영업/정상,01,영업,,,,,02 4579757,167.20,143883,서울특별시 광진구 중곡동 18-72 2층 ,서울특별시 광진구 용마산로 118, 2층 (중곡동),04941,수안보농협.남한강김치,2018-09-04 09:30:09,U,2018-09-04 23:59:59.0,집단급식소 식품판매업,207621.641172375    ,451329.121803494    ,집단급식소 식품판매업,,,,,,,0,0,0,0,,,,N,0,,,,,,서울시광진구집단급식소식품판매업인허가정보.csv
3040000,3040000-122-2008-00003,20080320,,03,폐업,02,폐업,20090910,,,,4643085,,143901,서울특별시 광진구 중곡동 185-5 ,,,동천에프앤비,2008-03-20 15:00:21,I,2018-08-31 23:59:59.0,집단급식소 식품판매업,206939.863944215    ,451987.407937562    ,집단급식소 식품판매업,,,,,,,,,,,,,,N,0,,,,,,,서울시광진구집단급식소식품판매업인허가정보.csv
3040000,3040000-122-2008-00004,20080402,,03,폐업,02,폐업,20090218,,,,4469977,,143891,서울특별시 광진구 중곡동 138-8 (101호) ,,,복성급식,2009-01-07 10:49:04,I,2018-08-31 23:59:59.0,집단급식소 식품판매업,207243.677287182    ,450602.215782465    ,집단급식소 식품판매업,,,,,,,,,,,,,,N,0,,,,,,,서울시광진구집단급식소식품판매업인허가정보.csv
3040000,3040000-122-2008-00005,20080703,,03,폐업,02,폐업,20081201,,,,02 5140938,,143802,서울특별시 광진구 광장동 148-11 대호빌딩 210호 ,,,부국물산,2008-07-04 10:01:39,I,2018-08-31 23:59:59.0,집단급식소 식품판매업,209506.54940258     ,449634.030106178    ,집단급식소 식품판매업,,,,,,,,,,,,,,N,0,,,,,,,서울시광진구집단급식소식품판매업인허가정보.csv
3040000,3040000-122-2008-00006,20080715,,01,영업/정상,01,영업,,,,,02 4972855,,143904,서울특별시 광진구 중곡동 247-41 ,서울특별시 광진구 동일로68길 31 (중곡동),04913,좋은날Food,2010-08-18 11:03:56,I,2018-08-31 23:59:59.0,집단급식소 식품판매업,206779.000837262    ,451139.508876497    ,집단급식소 식품판매업,,,,,,,0,0,0,0,,,,N,0,,,,,,,서울시광진구집단급식소식품판매업인허가정보.csv
3040000,3040000-122-2008-00007,20080822,,03,폐업,02,폐업,20131209,,,,02  465 2450,,143915,서울특별시 광진구 화양동 234 (1층) ,,,우진유통,2012-12-11 17:49:30,I,2018-08-31 23:59:59.0,집단급식소 식품판매업,205749.287162088    ,449140.532278708    ,집단급식소 식품판매업,,,,,,,,,,,,,,N,0,,,,,,,서울시광진구집단급식소식품판매업인허가정보.csv
3040000,3040000-122-2008-00008,20080825,,03,폐업,02,폐업,20160801,,,,02  31434150,,143891,서울특별시 광진구 중곡동 138-8 ,서울특별시 광진구 천호대로111길 30, 1층 (중곡동),04926,청정학교급식우유특판,2016-01-14 10:58:16,I,2018-08-31 23:59:59.0,집단급식소 식품판매업,207243.677287182    ,450602.215782465    ,집단급식소 식품판매업,,,,,,,,,,,,,,N,0,,,,,,서울시광진구집단급식소식품판매업인허가정보.csv
3040000,3040000-122-2008-00009,20080829,,03,폐업,02,폐업,20130311,,,,02  15889333,,143888,서울특별시 광진구 중곡동 80-25 ,서울특별시 광진구 자양로43길 147-1 (중곡동),04949,풀서비스코리아(주),2008-08-29 13:33:12,I,2018-08-31 23:59:59.0,집단급식소 식품판매업,207755.216416205    ,450538.114796751    ,집단급식소 식품판매업,,,,,,,,,,,,,,N,0,,,,,,,서울시광진구집단급식소식품판매업인허가정보.csv
3040000,3040000-122-2008-00010,20080904,,03,폐업,02,폐업,20190618,,,,02  453 7946,33.00,143866,서울특별시 광진구 자양동 612-21 ,서울특별시 광진구 자양로15길 108, 1층 102호 (자양동),05054,이천상회,2019-06-18 11:22:59,U,2019-06-20 02:40:00.0,집단급식소 식품판매업,206819.758093715    ,448021.288260459    ,집단급식소 식품판매업,,,,,,,,,,,,,,N,0,,,,,,서울시광진구집단급식소식품판매업인허가정보.csv
