개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),위생업태명,남성종사자수,여성종사자수,영업장주변구분명,등급구분명,급수시설구분명,총인원,본사종업원수,공장사무직종업원수,공장판매직종업원수,공장생산직종업원수,건물소유구분명,보증액,월세액,다중이용업소여부,시설총규모,전통업소지정번호,전통업소주된음식,홈페이지,,,,,,정보
3040000,3040000-105-1961-00027,19611111,,03,폐업,02,폐업,20010709,,,,02 4447511,,143824,서울특별시 광진구 구의동 240-3번지 0000동 0000호,,,유림급식속,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,집단급식소,,,집단급식소,0,0,기타,기타,,,,,,,,,,N,143.3,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1979-00033,19790501,,01,영업/정상,01,영업,,,,,02 4539841,8.00,143864,서울특별시 광진구 자양동 590-5,서울특별시 광진구 자양번영로 3 (자양동),05095,(주)신흥기업,2022-05-12 16:30:53,U,2021-12-04 23:04:00.0,산업체,206484.034989216,447539.821475486,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1982-00024,19820419,,01,영업/정상,01,영업,,,,,0222041232,,143847,서울특별시 광진구 능동 25번지 ,서울특별시 광진구 천호대로130길 58 (능동),04991,경복초등학교,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,207648.121842767    ,449795.634126694    ,학교,0,0,기타,기타,상수도전용,,0,,,,,,,N,249.29,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1990-00010,19900511,,03,폐업,02,폐업,20000818,,,,0246000600,,143839,서울특별시 광진구 군자동 111-0번지 ,,,한국화장품,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,집단급식소,,,집단급식소,0,0,기타,기타,,,,,,,,,,N,379.48,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1990-00011,19900623,,03,폐업,02,폐업,20050809,,,,02 4589561,,143914,서울특별시 광진구 화양동 1번지 ,,,건국대학교 병원,2003-01-09 00:00:00,I,2018-08-31 23:59:59.0,집단급식소,206445.881091692    ,448922.881688102    ,집단급식소,0,0,기타,기타,,,,,,,,,,N,392.76,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1990-00016,19901005,,03,폐업,02,폐업,20000613,,,,02 4622211,,143841,서울특별시 광진구 자양동 9-4번지 ,,,(주)로얄비앤비,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,집단급식소,205845.946723741    ,448616.847693458    ,집단급식소,0,0,기타,기타,,,,,,,,,,N,224,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1990-00019,19900613,,03,폐업,02,폐업,20080604,,,,02 4508301,,143200,서울특별시 광진구 구의동 546-1번지 ,,,(주)한진중공업 집단급식소,2008-04-04 13:39:06,I,2018-08-31 23:59:59.0,집단급식소,208201.993320839    ,447967.299542306    ,집단급식소,0,0,기타,기타,,,0,,,,,,,N,825.57,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1990-00023,19900623,,01,영업/정상,01,영업,,,,,02 4527567,,143914,서울특별시 광진구 화양동 1번지 학생회관 지하1층 (구번지 393-1) ,서울특별시 광진구 능동로 120 (화양동, 학생회관 지하1층),05029,건국대학교 학생회관,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,학교,206445.881091692    ,448922.881688102    ,학교,0,0,기타,기타,상수도전용,,0,,,,,,,N,366,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1990-00028,19900511,,01,영업/정상,01,영업,,,,,0222040163,,143884,서울특별시 광진구 중곡동 30-1번지 지층 ,서울특별시 광진구 용마산로 127, 지층 (중곡동),04933,국립정신건강센터,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,병원,207510.076791915    ,451417.864438667    ,병원,0,0,기타,기타,상수도전용,,,,,,,,,N,698.48,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1991-00021,19910701,,03,폐업,02,폐업,19990515,,,,02 4630978,,143841,서울특별시 광진구 자양동 17-5번지 ,,,영송전기구내식당,2001-11-29 00:00:00,I,2018-08-31 23:59:59.0,집단급식소,205658.357256426    ,448806.789813369    ,집단급식소,0,0,기타,기타,,,,,,,,,,N,0,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1991-00032,1991-06-25,,01,영업/정상,01,영업,,,,,0220499043,60.20,143-867,서울특별시 광진구 자양동 627-3,서울특별시 광진구 자양로 85 (자양동),05056,혜민병원,2023-07-11 15:18:29,U,2022-12-06 23:03:00.0,병원,207307.270591653,448107.552520605,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구집단급식소인허가정보.csv
3040000,3040000-105-1991-00034,19911102,,01,영업/정상,01,영업,,,,,02 4501556,,143853,서울특별시 광진구 자양동 777번지 ,서울특별시 광진구 자양로 117 (자양동),05026,광진구청후생위원회,2017-08-23 18:56:54,I,2018-08-31 23:59:59.0,공공기관,207217.242723012    ,448466.072448888    ,공공기관,0,0,기타,기타,간이상수도,,,,,,,,,N,405.49,,,,,,,,,서울시광진구집단급식소인허가정보.csv
