개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명,,,,정보
3040000,CDFH3301021989000001,19890928,,01,영업/정상,13,영업중,,,,,464-5073,,,서울특별시 광진구 자양동 9-5번지 ,서울특별시 광진구 아차산로30길 42 (자양동),05072,조양체육관,2018-11-16 17:12:00,U,2018-11-18 02:37:55.0,,205841.315094422    ,448537.547744955    ,체육도장업,사립,,,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000002,19891004,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 자양동 642번지 현대5차(아) 상가동 3층(301호) ,서울특별시 광진구 뚝섬로54길 74 (자양동, 자양5차현대아파트),05109,화랑체육관,2017-03-07 14:14:54,I,2018-08-31 23:59:59.0,,206849.822646438    ,447375.994047199    ,체육도장업,사립,,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000003,19891005,,04,취소/말소/만료/정지/중지,35,직권말소,20130731,,,,444-9399,,143865,서울특별시 광진구 자양동 608-19번지 3층동 ,서울특별시 광진구 뚝섬로 596, 3층동 (자양동),,화랑유도교실,2013-08-05 11:18:16,I,2018-08-31 23:59:59.0,,206641.557042355    ,447859.976973617    ,체육도장업,사립,,,0,0,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000004,19891026,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 구의동 236-25번지 B101호,서울특별시 광진구 자양로 172, 지층 101호 (구의동, 솔렌시아2),05038,정훈태권도장,2016-09-02 12:37:32,I,2018-08-31 23:59:59.0,,207412.919254462    ,448968.677713251    ,체육도장업,사립,,,,2805.2,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000005,19891107,,03,폐업,03,폐업,20031117,,,,452-2870,,143819,서울특별시 광진구 구의동 67-23번지 ,서울특별시 광진구 광나루로 513  (구의동),,중앙체육관,2003-12-26 14:01:06,I,2018-08-31 23:59:59.0,,207597.147574373    ,449223.389908244    ,체육도장업,사립,0,,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000006,19891111,,03,폐업,03,폐업,20140724,,,,464-8146,,143915,서울특별시 광진구 화양동 15-62번지 ,서울특별시 광진구 능동로13길 70  (화양동),,호랑이체육관 (태권도),2014-07-24 13:07:18,I,2018-08-31 23:59:59.0,,206059.548834741    ,449166.851948837    ,체육도장업,사립,0,,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000007,19891111,,03,폐업,03,폐업,20220214,,,,,,,서울특별시 광진구 중곡동 82-1 ,서울특별시 광진구 영화사로 18 (중곡동),04949,용맹태권도체육관,2022-02-14 17:46:38,U,2022-02-16 02:40:00.0,,207817.113070386    ,450586.162250537    ,체육도장업,사립,,0,0,0,0,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000008,19891122,,01,영업/정상,13,영업중,,,,,452-7993,,143872,서울특별시 광진구 자양동 651-32번지 ,서울특별시 광진구 뚝섬로52가길 52 (자양동),,자양태권도(무단폐업),2013-07-29 15:06:38,I,2018-08-31 23:59:59.0,,207189.004635384    ,447601.744419427    ,체육도장업,사립,,,0,0,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000009,19891122,,03,폐업,03,폐업,20140120,,,,,,143900,서울특별시 광진구 중곡동 169-21번지 ,서울특별시 광진구 면목로 172 (중곡동),,충효체육관 (태권도),2014-01-20 16:29:48,I,2018-08-31 23:59:59.0,,207250.834018087    ,451800.009864484    ,체육도장업,사립,,,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000010,19891130,,01,영업/정상,13,영업중,,,,,446-6558,,,서울특별시 광진구 구의동 48-6번지 ,서울특별시 광진구 자양로50길 6 (구의동),04961,TS태권도장,2019-12-02 15:04:50,U,2019-12-04 02:40:00.0,태권도,208113.973717965    ,449956.751895582    ,체육도장업,사립,,,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000011,19891211,,01,영업/정상,13,영업중,,,,,02-446-7976,,143775,서울특별시 광진구 자양동 792번지 자양10차현대홈타운 상가 3층 ,서울특별시 광진구 뚝섬로34길 25-19, 자양10차현대홈타운 상가동 3층 (자양동),05090,동아체육관(태권도),2013-06-19 10:08:03,I,2018-08-31 23:59:59.0,,206161.555627037    ,447913.607015654    ,체육도장업,사립,,,,37349.05,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000012,19891211,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 자양동 621-18번지 2층 ,서울특별시 광진구 자양로15길 59 (자양동, 광성빌딩),05057,현대태권도장,2017-03-07 14:20:11,I,2018-08-31 23:59:59.0,,207038.30851274     ,448096.492515767    ,체육도장업,사립,,,0,0,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000013,19891211,,01,영업/정상,13,영업중,,,,,435-5355,,,서울특별시 광진구 중곡동 571-3번지 ,서울특별시 광진구 답십리로82길 18 (중곡동),04902,중앙체육관 (태권도),2017-03-07 14:30:46,I,2018-08-31 23:59:59.0,,207219.856533093    ,452036.093818641    ,체육도장업,사립,,,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000014,19891216,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 중곡동 193-49번지 ,서울특별시 광진구 면목로 136, 2층 (중곡동),04908,용문 효 태권도,2016-07-14 18:34:42,I,2018-08-31 23:59:59.0,,207102.532982915    ,451463.082421668    ,체육도장업,사립,0,1,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000015,19891219,,01,영업/정상,13,영업중,,,,,,,143847,서울특별시 광진구 능동 223-8번지 3층 ,서울특별시 광진구 천호대로112길 18, 3층 (능동),04985,다온 태권도,2017-02-16 17:24:07,I,2018-08-31 23:59:59.0,,207096.618986849    ,450354.939647743    ,체육도장업,사립,,,,494.53,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000016,1989-12-19,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 중곡동 243-2 3층,서울특별시 광진구 긴고랑로 42, 3층 (중곡동),04914,군자체육관(휴업),2023-09-04 17:22:44,U,2022-12-09 00:06:00.0,태권도,207068.688788843,451153.894459824,,,,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021989000017,19891219,,03,폐업,03,폐업,20030903,,,,456-2980,,143862,서울특별시 광진구 자양동 553-736번지 ,,,진명태권도,2003-12-26 14:02:16,I,2018-08-31 23:59:59.0,,,,체육도장업,사립,0,,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021990000001,19900110,,03,폐업,03,폐업,20121015,,,,,,143839,서울특별시 광진구 군자동 102-13번지 2층 ,서울특별시 광진구 군자로 101  (군자동,2층),,건국대 태양체육관,2012-10-15 15:49:03,I,2018-08-31 23:59:59.0,,206226.550478409    ,450006.217157607    ,체육도장업,사립,,0,0,0,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021991000001,19910219,,03,폐업,03,폐업,19990225,,,,,,143884,서울특별시 광진구 중곡동 28-7번지 ,서울특별시 광진구 용마산로 111  (중곡동),,태권도용곡체육관,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,207588.020825128    ,451260.460692259    ,체육도장업,사립,,0,0,0,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021992000001,19920528,,01,영업/정상,13,영업중,,,,,,,143861,서울특별시 광진구 자양동 516-3번지 우성3차아파트 상가 지하1층 ,서울특별시 광진구 뚝섬로37길 11, 지하1층 (자양동, 우성3차아파트 상가 ),05070,자양검도관,2014-03-28 14:05:49,I,2018-08-31 23:59:59.0,,206265.844310085    ,448087.393600126    ,체육도장업,사립,,1,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021993000002,19930529,,01,영업/정상,13,영업중,,,,,454-6687,,143808,서울특별시 광진구 광장동 326-13번지 ,서울특별시 광진구 아차산로 612 (광장동),,산성검도구락부(무단폐업),2014-08-15 15:03:07,I,2018-08-31 23:59:59.0,,209367.991933454    ,449464.138000765    ,체육도장업,사립,,,0,0,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021994000001,19941001,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 구의동 611 구의동현대2단지 종합상가 303호,서울특별시 광진구 광나루로56길 34, 구의동현대2단지 종합상가 3층 303호 (구의동),05118,경희대 강한친구들,2021-03-15 09:23:10,U,2021-03-17 02:40:00.0,태권도,208403.746065593    ,448490.239179557    ,체육도장업,사립,,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021994000002,19941201,,01,영업/정상,13,영업중,,,,,454-9221,,143862,서울특별시 광진구 자양동 553-43번지 ,서울특별시 광진구 뚝섬로 539  (자양동),,윤용근태권도체능교실,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,206123.383284799    ,448090.402837116    ,체육도장업,사립,,0,0,0,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021995000001,19950224,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 자양동 670번지 상가동 4층 ,서울특별시 광진구 뚝섬로56가길 10, 4층 (자양동, 자양현대3차아파트),05107,푸른나무 태권도,2016-09-08 18:24:12,I,2018-08-31 23:59:59.0,,207306.382464524    ,447374.008518853    ,체육도장업,사립,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021995000002,1995-04-06,,01,영업/정상,13,영업중,,,,,2201-2039,,,서울특별시 광진구 광장동 453-1 상가동 3층,서울특별시 광진구 아차산로 544, 3층 (광장동, 삼성아파트),04971,보성 태권도장,2023-07-03 15:01:52,U,2022-12-07 00:05:00.0,,208950.91165115,448909.276939198,,,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021995000003,19950422,,03,폐업,03,폐업,20091210,,,,,,143806,서울특별시 광진구 광장동 257-12번지 ,서울특별시 광진구 천호대로143길 27  (광장동),,광장체육관 (태권도),2009-12-10 10:18:26,I,2018-08-31 23:59:59.0,,209074.663267705    ,449404.793172222    ,체육도장업,사립,,,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021995000004,19950425,,03,폐업,03,폐업,20140327,,,,458-8222,,143861,서울특별시 광진구 자양동 516-3번지 우성3차(아)상가 지하1층 ,,,무한검도관,2014-03-27 17:36:05,I,2018-08-31 23:59:59.0,,206265.844310085    ,448087.393600126    ,체육도장업,사립,0,,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021995000005,19950513,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 중곡동 141-12 2층 ,서울특별시 광진구 천호대로111길 41, 2층 (중곡동),04928,영광체육관,2020-10-12 09:36:08,U,2020-10-14 02:40:00.0,태권도,207244.217989034    ,450671.323179212    ,체육도장업,사립,,,,137.84,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021995000006,19950517,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 구의동 234-16번지 2층 ,서울특별시 광진구 자양로 194, 2층 (구의동),05031,MMC 합기도·태권도,2017-04-28 17:07:24,I,2018-08-31 23:59:59.0,태권도,207482.439148904    ,449177.970798634    ,체육도장업,사립,,,,639.2,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021995000007,19950613,,01,영업/정상,13,영업중,,,,,444-4016,,143861,서울특별시 광진구 자양동 520-9번지 ,서울특별시 광진구 뚝섬로 585  (자양동),,경희스포츠아카데미(태권도),2004-12-29 17:08:28,I,2018-08-31 23:59:59.0,,206557.418059952    ,447933.924270375    ,체육도장업,사립,0,,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021996000001,19960203,,03,폐업,03,폐업,20220420,,,,,,143772,서울특별시 광진구 자양동 670 현대3차아파트 종합상가동 401,,,화랑태권도체육관,2022-04-20 18:12:03,U,2021-12-03 22:02:00.0,,207306.382464524,447374.008518853,,,,,,,,,,,,,서울시광진구체육도장업인허가정보.csv
3040000,CDFH3301021996000003,19960318,,01,영업/정상,13,영업중,,,,,3436-0813,,143819,서울특별시 광진구 구의동 73-5번지 ,서울특별시 광진구 천호대로 694  (구의동),,건국태권도,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,207996.984458785    ,449670.570578119    ,체육도장업,사립,,0,0,0,,,,,,,서울시광진구체육도장업인허가정보.csv
