고정형CCTV지번주소,위도,경도,자치구,단속지점명,현장구분,등록일시,단속지번주소,정보,geometry,index_right
서울 광진구 광장동 334-2,37.54779,127.10699,광진구,SK강평주유소 앞 ,불법주정차구역,2020-03-17 14:02:57,서울 광진구 광장동 334-2,cctv위치,POINT (127.10699 37.54779),116584.0
서울 광진구 광장동 445-3,37.543799,127.10241,광진구,광현교회 앞,불법주정차구역,2020-03-17 14:02:57,서울 광진구 광장동 445-3,cctv위치,POINT (127.10241 37.543799),116583.0
서울 광진구 구의동 135,37.549593,127.08178,광진구,아차산역 5번출구 앞,불법주정차구역,2020-03-17 14:02:57,서울 광진구 구의동 135,cctv위치,POINT (127.08178 37.549593),115207.0
서울 광진구 군자동 503,37.548609,127.071072,광진구,두산위브 앞,불법주정차구역,2020-03-17 14:02:57,서울 광진구 군자동 503,cctv위치,POINT (127.071072 37.548609),114748.0
서울 광진구 구의동 66-62,37.545348,127.08842,광진구,국민은행 앞,불법주정차구역,2020-03-17 14:02:57,서울 광진구 구의동 66-62,cctv위치,POINT (127.08842 37.545348),115665.0
서울 광진구 구의동 68-29,37.545976,127.086327,광진구,구의사거리,불법주정차구역,2020-03-17 14:02:57,서울 광진구 구의동 68-29,cctv위치,POINT (127.086327 37.545976),115666.0
서울 광진구 구의동 546-1,37.533558,127.093389,광진구,리젠트오피스텔건너편,불법주정차구역,2020-03-17 14:02:57,서울 광진구 구의동 546-1,cctv위치,POINT (127.093389 37.533558),116123.0
서울 광진구 구의동 546-11,37.535562,127.093359,광진구,지너스타워 주차장 앞,불법주정차구역,2020-03-17 14:02:57,서울 광진구 구의동 546-11,cctv위치,POINT (127.093359 37.535562),116123.0
서울 광진구 구의동 611,37.538347,127.09662,광진구,현대2단지아파트 앞,불법주정차구역,2020-03-17 14:02:57,서울 광진구 구의동 611,cctv위치,POINT (127.09662 37.538347),116124.0
서울 광진구 구의동 546-6,37.535668,127.094522,광진구,강변역 1번 출구,불법주정차구역,2020-03-17 14:02:57,서울 광진구 구의동 546-6,cctv위치,POINT (127.094522 37.535668),116123.0
서울 광진구 구의동 546-6,37.535668,127.094522,광진구,강변역 4번 출구,불법주정차구역,2020-03-17 14:02:57,서울 광진구 구의동 546-6,cctv위치,POINT (127.094522 37.535668),116123.0
서울 광진구 구의동 547-7,37.533556,127.092096,광진구,동서울터미널 주차장 앞,불법주정차구역,2020-03-17 14:02:57,서울 광진구 구의동 547-7,cctv위치,POINT (127.092096 37.533556),115664.0
서울 광진구 구의동 548-1,37.537558,127.097672,광진구,프라임아파트 정문(213동),불법주정차구역,2020-03-17 14:02:57,서울 광진구 구의동 548-1,cctv위치,POINT (127.097672 37.537558),116124.0
서울 광진구 구의동 593-15,37.535074,127.091264,광진구,강변 스파랜드 앞,불법주정차구역,2020-03-17 14:02:57,서울 광진구 구의동 593-15,cctv위치,POINT (127.091264 37.535074),115664.0
서울 광진구 군자동 364-15,37.551315,127.071524,광진구,노인종합복지관 앞,불법주정차구역,2020-03-17 14:02:57,서울 광진구 군자동 364-15,cctv위치,POINT (127.071524 37.551315),114748.0
