고정형CCTV지번주소,위도,경도,자치구,단속지점명,현장구분,geometry,index_right
서울 광진구 중곡동 166-19,37.5650744665213,127.083208621434,광진구,중광초 정문 앞,불법주정차구역,POINT (127.083208621434 37.5650744665213),
서울 광진구 광장동 577-3,37.5444252783139,127.100195713772,광진구,광장동 실내배드민턴장 앞 ,불법주정차구역,POINT (127.100195713772 37.5444252783139),116124.0
서울 광진구 자양동 599-35,37.5303930066146,127.076195617281,광진구,신자초 정문 앞 ,불법주정차구역,POINT (127.076195617281 37.5303930066146),115205.0
서울 광진구 중곡동 220-47,37.5651389985817,127.081760339709,광진구,중광초 후문 앞,불법주정차구역,POINT (127.081760339709 37.5651389985817),
서울 광진구 자양동 580-8,37.533847380565,127.07502891744,광진구,자양중 정문 앞 ,불법주정차구역,POINT (127.07502891744 37.533847380565),115205.0
서울 광진구 구의동 4-17,37.5505366803029,127.097917377384,광진구,동의초 주변 ,불법주정차구역,POINT (127.097917377384 37.5505366803029),116125.0
서울 광진구 광장동 322-6,37.547200140874,127.107606257434,광진구,장순루식당 주변,불법주정차구역,POINT (127.107606257434 37.547200140874),116584.0
서울 광진구 구의동 61-38,37.5466630431131,127.090899103886,광진구,래미안스위트파크 103동 옆,불법주정차구역,POINT (127.090899103886 37.5466630431131),115666.0
서울 광진구 중곡동 41-20,37.5620324596772,127.082400052226,광진구,용마사거리 주변,불법주정차구역,POINT (127.082400052226 37.5620324596772),115208.0
서울 광진구 자양동 600-15,37.5307272817742,127.075205904434,광진구,신자초등학교 후문 주변,불법주정차구역,POINT (127.075205904434 37.5307272817742),115205.0
서울 광진구 광장동 413-13,37.5429491166706,127.098547794043,광진구,어광수의원 주변,불법주정차구역,POINT (127.098547794043 37.5429491166706),116124.0
