관리번호,위도,경도,정보,geometry,index_right
로데오거리1-1,37.5395131,127.0700084,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0700084 37.5395131),114747.0
로데오거리1-16,37.5408526,127.0662875,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0662875 37.5408526),114747.0
중곡제방길1,37.5716952,127.0795179,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0795179 37.5716952),
중곡제방길10,37.5702178,127.0791525,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0791525 37.5702178),
중곡제방길11,37.5700532,127.0790855,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0790855 37.5700532),
중곡제방길11-1,37.5697761,127.0791182,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0791182 37.5697761),
중곡제방길12,37.5698095,127.0789934,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0789934 37.5698095),
중곡제방길13,37.5696492,127.0789349,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0789349 37.5696492),
중곡제방길14,37.5695116,127.0788734,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0788734 37.5695116),
중곡제방길15,37.5693761,127.0788005,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0788005 37.5693761),
중곡제방길16,37.5692655,127.0787503,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0787503 37.5692655),
중곡제방길17,37.5691279,127.0786916,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0786916 37.5691279),
중곡제방길18,37.5689068,127.0785683,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0785683 37.5689068),
중곡제방길19,37.5686831,127.0784422,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0784422 37.5686831),
중곡제방길2,37.5715306,127.0794905,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0794905 37.5715306),
중곡제방길20,37.5685228,127.0783468,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0783468 37.5685228),
중곡제방길21,37.5683873,127.0782768,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0782768 37.5683873),
중곡제방길22,37.5682406,127.0782011,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0782011 37.5682406),
중곡제방길23,37.5681389,127.0781281,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0781281 37.5681389),
중곡제방길23-1,37.5680604,127.0782276,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0782276 37.5680604),
중곡제방길24,37.5680576,127.0780776,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0780776 37.5680576),
중곡제방길24-1,37.5680301,127.0779561,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0779561 37.5680301),
중곡제방길25,37.5678431,127.0779571,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0779571 37.5678431),
중곡제방길26,37.5676569,127.0778623,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0778623 37.5676569),
중곡제방길27,37.567527,127.0777748,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0777748 37.567527),
중곡제방길28,37.5673847,127.0776851,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0776851 37.5673847),
중곡제방길29,37.5672323,127.0776043,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0776043 37.5672323),
중곡제방길3,37.5713389,127.0794548,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0794548 37.5713389),
중곡제방길30,37.5670392,127.077503,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.077503 37.5670392),
중곡제방길30-1,37.5671135,127.0774771,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0774771 37.5671135),
중곡제방길31,37.5668541,127.077405,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.077405 37.5668541),
중곡제방길32,37.5667276,127.0773349,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0773349 37.5667276),
중곡제방길33,37.5665695,127.0772367,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0772367 37.5665695),
중곡제방길33-1,37.5664129,127.0772353,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0772353 37.5664129),
중곡제방길34,37.5664139,127.077164,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.077164 37.5664139),
중곡제방길35,37.5662897,127.0771052,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0771052 37.5662897),
중곡제방길36,37.5660436,127.0769594,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0769594 37.5660436),
