연번,운영개시일,동명,시설명,위치,부지면적,주차면수 소계,주차면수 노상,주차면수 노외,거주자,공영,급지,주차요금 5분당,주차요금 주간,주차요금 야간,주차요금 종일,시설규모,비고,정보,위경도,위도,경도,geometry,index_right
1,2010-09,중곡1동,중곡제일전통시장 공영,서울시 광진구 중곡1동 221-6,695,21,0.0,21.0,,O,2,250원,,3만원,,,구유지(지역경제과·위탁),서울특별시 광진구_공영주차장 정보_20220118.csv,,37.56262365,127.07810911928351,POINT (127.07810911928351 37.56262365),115208.0
2,1998-03,중곡2동,장신구,서울시 광진구 중곡2동 133-10,531,22,0.0,22.0,O,,5,,4만원,3만원,5만원,,시유지,서울특별시 광진구_공영주차장 정보_20220118.csv,,37.5603399,127.08435880465494,POINT (127.08435880465494 37.5603399),115667.0
3,1999-06,중곡2동,중곡동복개천,서울시 광진구 중곡2동 150-196,,78,78.0,0.0,,O,2,200원,,,10만원,,시유도로(노상·공단위탁),서울특별시 광진구_공영주차장 정보_20220118.csv,,37.5603399,127.08435880465494,POINT (127.08435880465494 37.5603399),115667.0
4,2009-04,중곡3동,중곡3동마을공원,서울시 광진구 중곡3동 195-1,3038.3,162,,162.0,O,O,5,75원 ,4만원,3만원,5만원,지하2층,구유지,서울특별시 광진구_공영주차장 정보_20220118.csv,,37.567450449999995,127.08135221701983,POINT (127.08135221701983 37.567450449999995),
5,2010-01,중곡3동,중곡체육센터,서울시 광진구 중곡3동 168-8,"3,690.00",6,,6.0,O,,5,,4만원,3만원,5만원,,구유지,서울특별시 광진구_공영주차장 정보_20220118.csv,,37.567450449999995,127.08135221701983,POINT (127.08135221701983 37.567450449999995),
6,1996-01,중곡4동,신성시장길,서울시 광진구 중곡4동 453 ,,33,33.0,,,O,2,250원,,,10만원,,구유도로(노상·민간위탁),서울특별시 광진구_공영주차장 정보_20220118.csv,,37.562809650000005,127.09438852597454,POINT (127.09438852597454 37.562809650000005),116126.0
7,2001-08,중곡4동,새오름,서울시 광진구 중곡4동 143-70,137,7,,7.0,O,,5,,4만원,3만원,5만원,,구유지,서울특별시 광진구_공영주차장 정보_20220118.csv,,37.562809650000005,127.09438852597454,POINT (127.09438852597454 37.562809650000005),116126.0
8,2003-04,중곡4동,용마산남,서울시 광진구 중곡4동 69-2,777.9,25,,25.0,O,,5,,4만원,3만원,5만원,,구유지,서울특별시 광진구_공영주차장 정보_20220118.csv,,37.562809650000005,127.09438852597454,POINT (127.09438852597454 37.562809650000005),116126.0
9,2005-04,중곡4동,긴고랑길공영,서울시 광진구 중곡4동 72-1,"1,653.00",53,,53.0,O,,5,,4만원,3만원,5만원,,구유지,서울특별시 광진구_공영주차장 정보_20220118.csv,,37.562809650000005,127.09438852597454,POINT (127.09438852597454 37.562809650000005),116126.0
10,1998-12,중곡4동,해오름,서울시 광진구 중곡4동 87-14,462.9,20,,20.0,O,,5,,4만원,3만원,5만원,,시유지,서울특별시 광진구_공영주차장 정보_20220118.csv,,37.562809650000005,127.09438852597454,POINT (127.09438852597454 37.562809650000005),116126.0
11,2005-04,중곡4동,뻥튀기골주차장(용마공원주차장),서울시 광진구 중곡4동 176-110,595,18,,18.0,O,,5,,4만원,3만원,5만원,,시유지(임야일부),서울특별시 광진구_공영주차장 정보_20220118.csv,,37.562809650000005,127.09438852597454,POINT (127.09438852597454 37.562809650000005),116126.0
12,2009-01,중곡4동,중곡4동 599-6 인근,서울시 광진구 면목4동 산75-2,124.2,9,,9.0,O,,5,,4만원,3만원,5만원,,시유지(임야일부),서울특별시 광진구_공영주차장 정보_20220118.csv,,,,POINT EMPTY,
